Gene ID	GeneCard Gene ID	Gene Symbol	Type	log2 (siGM312 / siNC12)	Pvalue(siGM312 / siNC12)	Qvalue (siGM312 / siNC12)	siNC_1 FPKM	siNC_2 FPKM	siST3_1 FPKM	siST3_2 FPKM	siNC_1 TPM	siNC_2 TPM	siST3_1 TPM	siST3_2 TPM
10190	10190	'TXNDC9'	mRNA	-0.775428017	2.11E-05	4.27E-04	31.22	32.29	16.19	22.15	71.88	71.21	38.18	50.84
10193	10193	'RNF41'	mRNA	-0.865927892	1.77E-09	8.89E-08	17.8	17.01	9.7	10.76	40.97	37.5	22.88	24.7
10203	10203	'CALCRL'	mRNA	1.503270347	5.65E-17	7.53E-15	2.08	2.2	6.11	6.24	4.78	4.85	14.4	14.31
10204	10204	'NUTF2'	mRNA	-0.643231288	5.27E-05	9.54E-04	36.53	35.97	20.88	27.11	84.11	79.31	49.22	62.23
1021	1021	'CDK6'	mRNA	-1.639124215	1.16E-40	8.57E-38	17.28	16.91	5.44	5.86	39.8	37.28	12.82	13.46
10211	10211	'FLOT1'	mRNA	-0.451711428	0.001501343	0.016370689	40.4	36.32	28.78	29.65	93.03	80.1	67.85	68.06
10217	10217	'CTDSPL'	mRNA	-0.807141329	6.68E-06	1.55E-04	7.78	7.74	4.01	5.12	17.9	17.06	9.45	11.74
10221	10221	'TRIB1'	mRNA	0.990567116	3.93E-06	9.61E-05	2.81	2.79	5.47	5.65	6.47	6.15	12.89	12.96
10226	10226	'PLIN3'	mRNA	-0.964385097	2.97E-11	2.02E-09	91	82.38	40.39	51.03	209.51	181.64	95.21	117.15
10238	10238	'DCAF7'	mRNA	0.492472792	3.37E-05	6.38E-04	15.85	16.03	22.92	23.28	36.48	35.34	54.03	53.45
10252	10252	'SPRY1'	mRNA	-0.918002475	1.22E-04	0.002004434	5.07	4.56	2.67	2.82	11.67	10.05	6.29	6.48
1026	1026	'CDKN1A'	mRNA	-2.208465394	1.43E-53	2.11E-50	187.23	180.19	47.66	34.26	431.07	397.33	112.36	78.65
102724200	102724200	'LOC102724200'	mRNA	-1.587346291	0.002506939	0.024790167	1.07	1.11	0.2	0.54	2.46	2.45	0.47	1.25
10274	10274	'STAG1'	mRNA	-0.412382014	0.00226778	0.022799886	13.44	15.2	10.44	11.28	30.94	33.51	24.62	25.9
10276	10276	'NET1'	mRNA	0.609776364	1.55E-05	3.21E-04	12.53	12.62	18.65	21.02	28.86	27.82	43.97	48.24
1030	1030	'CDKN2B'	mRNA	0.480744946	8.82E-04	0.010410797	10.42	11.56	16.87	14.84	23.99	25.5	39.77	34.06
10335	10335	'IRAG1'	mRNA	-1.834111212	1.17E-10	7.28E-09	2.74	1.91	0.79	0.56	6.32	4.22	1.85	1.29
10350	10350	'ABCA9'	mRNA	0.426690563	0.002429612	0.024113563	30.8	35.87	53	39.87	70.92	79.1	124.96	91.52
10365	10365	'KLF2'	mRNA	-1.128669861	4.33E-07	1.37E-05	7.87	6.17	3.44	3.18	18.12	13.6	8.11	7.31
10370	10370	'CITED2'	mRNA	-0.910919173	1.58E-10	9.44E-09	50.7	44.18	28.5	23.58	116.72	97.41	67.2	54.13
10371	10371	'SEMA3A'	mRNA	0.806946716	1.96E-06	5.17E-05	3.06	3.3	5.12	6.24	7.03	7.27	12.08	14.32
10383	10383	'TUBB4B'	mRNA	-0.515719689	0.001882875	0.019572019	103.53	94.03	58.49	83.56	238.36	207.33	137.89	191.83
10391	10391	'CORO2B'	mRNA	1.063484338	7.31E-16	8.46E-14	13	12.55	27.52	27.62	29.93	27.67	64.89	63.41
10396	10396	'ATP8A1'	mRNA	0.702047119	6.84E-04	0.008452641	1.44	1.25	2.2	2.31	3.32	2.76	5.2	5.31
10397	10397	'NDRG1'	mRNA	-0.629642641	8.74E-06	1.96E-04	34.87	36.66	26.77	20.85	80.29	80.84	63.11	47.87
10398	10398	'MYL9'	mRNA	-0.411202263	0.00148753	0.016230961	173.45	139.95	126.46	116.69	399.34	308.61	298.14	267.87
10403	10403	'NDC80'	mRNA	-1.746879988	1.67E-04	0.002605459	2.48	2.38	0.41	1.08	5.71	5.25	0.96	2.47
10424	10424	'PGRMC2'	mRNA	-0.467998601	4.31E-05	8.00E-04	98.85	92.62	70.95	71.96	227.58	204.22	167.27	165.2
10426	10426	'TUBGCP3'	mRNA	-0.654273724	9.92E-04	0.011509387	5.03	5.8	3.42	3.64	11.59	12.8	8.05	8.36
10449	10449	'ACAA2'	mRNA	-2.222320412	1.82E-32	1.02E-29	19.27	18.21	3.45	4.81	44.37	40.15	8.14	11.03
10455	10455	'ECI2'	mRNA	-0.44091516	0.001172964	0.013270994	69.55	74.3	51.81	57.26	160.14	163.83	122.15	131.45
10456	10456	'HAX1'	mRNA	-0.600451482	2.85E-04	0.004118939	53.27	58.61	43.41	32.97	122.64	129.23	102.35	75.68
10468	10468	'FST'	mRNA	-1.279147399	7.56E-18	1.11E-15	43.13	40.51	16.52	19.92	99.3	89.32	38.95	45.72
1047	1047	'CLGN'	mRNA	0.802227016	6.01E-04	0.007609202	3.34	4.9	6.73	8.05	7.69	10.81	15.86	18.49
10473	10473	'HMGN4'	mRNA	-1.445962169	5.73E-18	8.54E-16	33.08	34.73	11.23	14.42	76.17	76.58	26.47	33.11
10479	10479	'SLC9A6'	mRNA	-0.793355549	1.01E-06	2.90E-05	9.3	8.76	5.1	5.68	21.41	19.32	12.01	13.04
10487	10487	'CAP1'	mRNA	-0.870936093	2.70E-11	1.85E-09	342.31	342.95	171.78	213.7	788.14	756.23	405	490.57
10488	10488	'CREB3'	mRNA	-0.430757291	0.001566792	0.016947848	52.27	53.35	39.28	41.41	120.34	117.64	92.62	95.07
10505	10505	'SEMA4F'	mRNA	0.527173971	0.001042449	0.01204599	7.84	6.79	10.91	11.07	18.05	14.97	25.71	25.41
10525	10525	'HYOU1'	mRNA	0.672451276	1.50E-07	5.23E-06	36.87	34.15	53.98	62.52	84.88	75.31	127.25	143.52
10526	10526	'IPO8'	mRNA	-0.470454783	8.86E-04	0.010451869	12.27	12.25	10.09	8.56	28.26	27	23.78	19.65
10528	10528	'NOP56'	mRNA	-0.472940262	0.001352807	0.014911166	32.07	31.59	22.24	24.99	73.84	69.66	52.43	57.36
1054	1054	'CEBPG'	mRNA	-0.677693584	3.65E-05	6.88E-04	9.2	10.26	6.58	6.02	21.19	22.63	15.52	13.81
10541	10541	'ANP32B'	mRNA	-0.452771545	5.51E-04	0.007096397	64.42	62.14	49.44	45.89	148.32	137.01	116.57	105.34
10611	10611	'PDLIM5'	mRNA	-0.694126298	4.09E-09	1.95E-07	44.12	44.5	27.4	29.13	101.57	98.12	64.59	66.86
1062	1062	'CENPE'	mRNA	-0.712310991	6.22E-04	0.007805343	2.17	2.27	1.27	1.52	4.99	5.01	3	3.48
10625	10625	'IVNS1ABP'	mRNA	-0.470318762	0.002263086	0.022780891	14.87	13.52	9.49	11.49	34.23	29.82	22.38	26.38
10626	10626	'TRIM16'	mRNA	0.520502185	9.77E-04	0.011355679	12.09	12.93	17.18	20.06	27.84	28.52	40.51	46.05
1063	1063	'CENPF'	mRNA	-0.785461358	1.42E-06	3.92E-05	3.99	3.98	2.2	2.57	9.19	8.77	5.19	5.9
10634	10634	'GAS2L1'	mRNA	-1.086332773	2.43E-06	6.26E-05	12.39	8.47	4.24	5.66	28.54	18.68	9.99	12.98
10643	10643	'IGF2BP3'	mRNA	2.1196061	4.81E-34	2.89E-31	5.05	5.64	19.93	26.44	11.62	12.44	47	60.7
10687	10687	'PNMA2'	mRNA	-0.836066248	9.17E-04	0.010752303	2.25	2.45	1.4	1.31	5.19	5.4	3.3	3.02
1069	1069	'CETN2'	mRNA	-0.469944277	0.004438129	0.039124407	32.14	35.47	23	27.22	73.99	78.21	54.21	62.5
10713	10713	'USP39'	mRNA	-0.587915361	3.43E-04	0.004782139	20.09	18.71	12.47	14.12	46.25	41.26	29.4	32.41
1073	1073	'CFL2'	mRNA	-1.861280722	2.17E-04	0.003284916	32.21	32.5	6.15	11.95	74.17	71.67	14.5	27.44
10745	10745	'PHTF1'	mRNA	0.416201319	0.003358595	0.031342388	14.71	14.62	19.43	19.93	33.88	32.24	45.81	45.76
10762	10762	'NUP50'	mRNA	-0.51141669	0.001917565	0.019881731	10.91	10.73	6.75	8.81	25.12	23.65	15.9	20.22
10766	10766	'TOB2'	mRNA	-0.502178956	7.82E-04	0.009438881	14.06	12.74	9.09	10.32	32.37	28.09	21.44	23.69
10769	10769	'PLK2'	mRNA	-0.870272293	1.61E-14	1.65E-12	82.85	84.14	47.76	46.4	190.75	185.54	112.59	106.52
10776	10776	'ARPP19'	mRNA	-0.532723189	6.87E-05	0.001207721	25.7	27.8	17.5	20.56	59.18	61.3	41.27	47.2
10791	10791	'VAMP5'	mRNA	-0.65111354	4.95E-04	0.006470128	70.76	95.25	55.38	53.31	162.92	210.03	130.56	122.39
10797	10797	'MTHFD2'	mRNA	-1.269133879	2.33E-21	5.33E-19	44.23	51.05	20.2	20.87	101.83	112.57	47.62	47.91
10802	10802	'SEC24A'	mRNA	0.403730518	0.002213728	0.022367193	10.51	11.61	14.76	15.64	24.2	25.6	34.79	35.9
10806	10806	'SDCCAG8'	mRNA	0.718792021	2.18E-06	5.69E-05	15.03	18.99	28.6	26.95	34.6	41.87	67.43	61.87
10848	10848	'PPP1R13L'	mRNA	-2.657083451	1.06E-21	2.46E-19	6.64	5.65	0.77	1.24	15.28	12.45	1.8	2.84
10867	10867	'TSPAN9'	mRNA	0.427545721	7.01E-04	0.008603899	15.87	15.66	22.21	21.57	36.54	34.54	52.36	49.51
10875	10875	'FGL2'	mRNA	-0.616001233	2.41E-05	4.78E-04	41.28	43.59	33.24	23.97	95.04	96.12	78.37	55.03
10892	10892	'MALT1'	mRNA	-0.836604191	3.32E-08	1.32E-06	8.99	8.54	4.61	4.88	20.71	18.83	10.86	11.19
109	109	'ADCY3'	mRNA	-0.40051309	0.00516567	0.044088081	12.78	12.3	9.57	9.72	29.44	27.12	22.56	22.31
10910	10910	'SUGT1'	mRNA	-0.427206901	0.005859225	0.04851928	3.06	3.77	2.68	2.55	7.05	8.31	6.33	5.85
10949	10949	'HNRNPA0'	mRNA	-0.620357716	5.12E-06	1.22E-04	11.06	11.33	8.3	6.74	25.47	24.98	19.56	15.47
10962	10962	'MLLT11'	mRNA	0.637054883	3.78E-06	9.30E-05	33.18	34.7	49.63	59.01	76.4	76.52	117	135.46
10973	10973	'ASCC3'	mRNA	-1.0540147	6.13E-16	7.22E-14	16.7	16.91	8.29	9.08	38.45	37.29	19.54	20.84
10974	10974	'ADIRF'	mRNA	-0.616418702	1.22E-04	0.002003316	132.83	137.71	82.07	99.42	305.82	303.65	193.48	228.22
10979	10979	'FERMT2'	mRNA	-0.932765249	1.30E-10	7.96E-09	48.26	50.39	23.39	29.76	111.11	111.11	55.16	68.32
11004	11004	'KIF2C'	mRNA	-1.029953767	0.002024911	0.020730135	2.39	2.55	1.02	1.48	5.5	5.62	2.4	3.39
1102	1102	'RCBTB2'	mRNA	-0.717182667	0.002168315	0.021949288	4.95	5.1	2.91	3.54	11.4	11.24	6.87	8.13
11031	11031	'RAB31'	mRNA	-1.751895907	6.63E-44	6.34E-41	42.93	45.97	13.17	14.01	98.85	101.36	31.06	32.17
11056	11056	'DDX52'	mRNA	-0.476397122	0.004303313	0.038101324	4.76	5.12	3.92	3.41	10.97	11.28	9.24	7.82
11065	11065	'UBE2C'	mRNA	-1.4278643	0.001280347	0.014238054	8.22	6.67	2.86	2.88	18.93	14.71	6.74	6.62
11067	11067	'DEPP1'	mRNA	-1.430218837	8.23E-08	2.99E-06	10.42	8.99	4.89	2.56	23.99	19.83	11.54	5.89
11072	11072	'DUSP14'	mRNA	-0.686052805	4.21E-05	7.83E-04	31.97	29.64	18.34	21.47	73.61	65.36	43.24	49.29
11079	11079	'RER1'	mRNA	-0.530626375	1.58E-04	0.002486417	37.65	34.83	23.67	27.99	86.7	76.8	55.81	64.25
11080	11080	'DNAJB4'	mRNA	-0.565007967	9.53E-07	2.75E-05	64.49	63.52	45.08	44.23	148.47	140.06	106.29	101.53
11082	11082	'ESM1'	mRNA	2.254729108	4.83E-08	1.84E-06	13.69	16.23	54.07	92.66	31.53	35.79	127.48	212.71
1111	1111	'CHEK1'	mRNA	-0.788237168	3.11E-04	0.00441505	5.08	5.04	2.99	3	11.7	11.12	7.04	6.89
11118	11118	'BTN3A2'	mRNA	0.542418948	8.69E-04	0.010282435	8.63	10.32	15.83	13.57	19.87	22.75	37.33	31.16
1112	1112	'FOXN3'	mRNA	0.409518024	0.001153209	0.013074804	8.54	8.33	11.71	11.4	19.66	18.37	27.6	26.17
11128	11128	'POLR3A'	mRNA	0.637132877	2.74E-06	6.98E-05	7.78	7.11	11.81	12.05	17.91	15.67	27.85	27.66
11135	11135	'CDC42EP1'	mRNA	-0.515963012	0.001824105	0.019070935	19.34	16.8	13.53	12.53	44.54	37.03	31.9	28.77
11137	11137	'PWP1'	mRNA	-0.525408508	6.82E-04	0.008434755	25.17	27.06	16.77	20.57	57.96	59.68	39.55	47.21
11145	11145	'PLAAT3'	mRNA	-0.625827337	3.19E-04	0.004511685	35.4	34.12	27.2	20.39	81.51	75.24	64.13	46.8
11153	11153	'FICD'	mRNA	0.787711891	1.00E-05	2.19E-04	4.95	4.95	8.89	8.73	11.4	10.92	20.96	20.03
11160	11160	'ERLIN2'	mRNA	0.513538625	2.08E-05	4.21E-04	21.14	21.56	30.74	31.18	48.68	47.54	72.48	71.58
11161	11161	'ERG28'	mRNA	-0.63394922	4.46E-04	0.005973508	12.32	15.3	9.29	9.04	28.36	33.74	21.91	20.75
11163	11163	'NUDT4'	mRNA	-0.474717533	6.70E-05	0.001181075	30.86	32.13	22.98	23.39	71.06	70.85	54.17	53.69
11185	11185	'INMT'	mRNA	-4.010182343	2.83E-05	5.52E-04	0.67	0.92	0.08	0.02	1.54	2.03	0.18	0.06
11186	11186	'RASSF1'	mRNA	-0.861792463	2.47E-07	8.28E-06	28.02	26	14.1	16.71	64.51	57.32	33.24	38.36
11196	11196	'SEC23IP'	mRNA	-0.876756528	3.83E-09	1.84E-07	17.16	17.39	8.56	10.47	39.52	38.35	20.18	24.04
11198	11198	'SUPT16H'	mRNA	-0.468645162	4.57E-04	0.006079274	24.9	27.47	21.37	17.67	57.32	60.56	50.38	40.56
11199	11199	'ANXA10'	mRNA	1.353286048	9.37E-08	3.36E-06	5.9	6.8	13.04	20.3	13.59	15	30.74	46.59
1120	1120	'CHKB'	mRNA	0.618842185	0.005720158	0.047585973	7.74	7.92	13.8	11.02	17.83	17.46	32.53	25.3
11222	11222	'MRPL3'	mRNA	-0.446961367	0.002098707	0.021364468	43.58	40.5	29.88	33.63	100.34	89.3	70.45	77.2
11228	11228	'RASSF8'	mRNA	0.427499348	4.36E-04	0.005856018	22.76	22.98	30.08	33.32	52.39	50.68	70.91	76.48
11238	11238	'CA5B'	mRNA	-0.974931545	4.76E-07	1.48E-05	3.53	4.08	1.84	2.15	8.12	8.99	4.33	4.93
11245	11245	'GPR176'	mRNA	-0.508806588	1.96E-05	3.98E-04	69.55	67.19	53.39	45.37	160.14	148.15	125.87	104.14
112495	112495	'GTF3C6'	mRNA	-1.419880614	7.59E-14	7.13E-12	68.25	81.51	25.11	32.43	157.14	179.74	59.21	74.44
112574	112574	'SNX18'	mRNA	-0.647416873	5.22E-06	1.24E-04	15.12	15.71	9.45	10.95	34.8	34.63	22.28	25.15
11259	11259	'FILIP1L'	mRNA	-0.477762158	0.00122304	0.013741855	15.03	15.11	11.39	10.41	34.6	33.32	26.86	23.9
11261	11261	'CHP1'	mRNA	-0.450898453	4.29E-04	0.005774449	47.74	44.71	32.24	40.37	109.92	98.59	76	92.69
112616	112616	'CMTM7'	mRNA	-1.692826267	2.07E-08	8.71E-07	6.53	7.54	2.18	2.73	15.04	16.62	5.13	6.26
11276	11276	'SYNRG'	mRNA	0.565348068	3.14E-05	6.00E-04	8.61	7.3	11.29	11.83	19.82	16.1	26.63	27.17
112817	112817	'HOGA1'	mRNA	-2.878501462	0.004556727	0.039953124	0.42	0.59	0.05	0.08	0.96	1.3	0.13	0.18
11309	11309	'SLCO2B1'	mRNA	2.162601932	5.09E-06	1.21E-04	0.17	0.34	1.18	1.15	0.39	0.74	2.79	2.63
113189	113189	'CHST14'	mRNA	-0.507832591	0.004271876	0.037905611	12.35	13	9.07	9.29	28.44	28.67	21.39	21.34
113201	113201	'GOLM2'	mRNA	-1.27859541	1.69E-17	2.36E-15	76.66	76.84	27.25	37.15	176.51	169.44	64.25	85.29
113277	113277	'TMEM106A'	mRNA	0.789325055	3.34E-04	0.004689741	3.82	3.39	5.61	7.33	8.8	7.47	13.23	16.82
11329	11329	'STK38'	mRNA	-0.543595843	4.95E-04	0.006471455	34.5	32.8	20.62	26.36	79.43	72.33	48.6	60.52
113444	113444	'SMIM12'	mRNA	-0.776746428	1.69E-06	4.57E-05	9.49	9.61	5.33	5.95	21.86	21.19	12.56	13.65
113612	113612	'CYP2U1'	mRNA	-1.13931526	1.89E-13	1.71E-11	10.05	11.11	5.05	4.77	23.13	24.51	11.91	10.95
1147	1147	'CHUK'	mRNA	-0.484423418	0.002874392	0.027519299	10.79	10.33	7.3	8.16	24.83	22.78	17.22	18.72
114784	114784	'CSMD2'	mRNA	0.657259639	0.004668034	0.040665708	1.12	1.01	1.37	1.83	2.58	2.24	3.23	4.2
114793	114793	'FMNL2'	mRNA	0.583298124	7.62E-06	1.74E-04	24.07	25.21	42.34	33.42	55.41	55.6	99.82	76.72
114801	114801	'TMEM200A'	mRNA	-0.441184094	2.19E-04	0.003304361	158.42	145.7	109.48	121.59	364.74	321.27	258.1	279.12
114882	114882	'OSBPL8'	mRNA	-0.585211588	1.68E-06	4.56E-05	53.45	57.64	42.04	34.38	123.07	127.09	99.12	78.93
114883	114883	'OSBPL9'	mRNA	-0.450440946	7.15E-04	0.008749892	25.27	25.64	19.06	19.64	58.19	56.54	44.94	45.08
114897	114897	'C1QTNF1'	mRNA	0.643385694	9.94E-06	2.18E-04	15.82	16.63	28.73	23.29	36.42	36.67	67.72	53.48
114904	114904	'C1QTNF6'	mRNA	0.536993486	0.002367588	0.023656948	5.49	5.23	8.14	8.12	12.64	11.53	19.19	18.64
114991	114991	'ZNF618'	mRNA	0.875334553	3.09E-10	1.77E-08	3.88	3.83	7.2	7.33	8.93	8.45	16.98	16.82
115123	115123	'MARCHF3'	mRNA	0.659220512	0.002752764	0.026666286	2.57	2.48	3.9	4.23	5.92	5.46	9.2	9.7
115207	115207	'KCTD12'	mRNA	0.830031303	1.65E-14	1.67E-12	67.51	63.02	123.09	116.19	155.43	138.96	290.21	266.73
115416	115416	'MALSU1'	mRNA	0.705734223	1.59E-04	0.002494103	6.27	6.74	9.78	12.07	14.43	14.87	23.05	27.71
115701	115701	'ALPK2'	mRNA	-1.167716926	1.68E-15	1.88E-13	10.2	8.87	4.55	4.2	23.49	19.56	10.73	9.65
116064	116064	'LRRC58'	mRNA	-0.933639035	4.80E-11	3.19E-09	9.84	9.99	4.99	5.7	22.67	22.04	11.77	13.08
116068	116068	'LYSMD3'	mRNA	-0.942642558	8.53E-07	2.52E-05	8.69	9.46	4.04	5.67	20.01	20.86	9.53	13.02
116461	116461	'TSEN15'	mRNA	-0.497299721	0.003034058	0.028793424	18.05	21.02	14.15	14.52	41.57	46.36	33.36	33.32
116496	116496	'NIBAN1'	mRNA	-0.637720834	4.85E-07	1.51E-05	26.76	31.53	20.4	18.23	61.62	69.52	48.1	41.84
116535	116535	'MRGPRF'	mRNA	-0.669856073	1.26E-04	0.00204876	15.59	14.07	9.67	9.55	35.89	31.04	22.79	21.93
117248	117248	'GALNT15'	mRNA	1.395896173	0.003308164	0.030996395	0.21	0.32	0.83	0.73	0.49	0.7	1.97	1.67
117583	117583	'PARD3B'	mRNA	-0.513700802	0.003496582	0.032388233	3.18	2.99	2.35	2.16	7.32	6.6	5.54	4.95
1181	1181	'CLCN2'	mRNA	1.032784629	0.003742853	0.0340864	0.86	0.79	1.76	1.73	1.98	1.75	4.15	3.97
1182	1182	'CLCN3'	mRNA	0.464283192	6.28E-05	0.001116693	22.31	21.7	31.78	31.55	51.38	47.84	74.92	72.42
1184	1184	'CLCN5'	mRNA	0.426113928	0.001278189	0.014223792	5.65	5.32	7.66	7.58	13.01	11.73	18.06	17.4
1185	1185	'CLCN6'	mRNA	0.443013507	0.002699353	0.026292794	6.15	6.38	9.32	8.26	14.17	14.07	21.97	18.96
1200	1200	'TPP1'	mRNA	-1.057752684	5.83E-14	5.60E-12	61.86	68.61	28.67	35.79	142.42	151.28	67.59	82.16
120114	120114	'FAT3'	mRNA	2.145959652	3.20E-05	6.09E-04	0.06	0.04	0.19	0.3	0.13	0.08	0.44	0.7
121551	121551	'BTBD11'	mRNA	1.307942409	1.64E-04	0.002572688	0.96	0.9	1.28	2.94	2.21	1.98	3.03	6.75
122953	122953	'JDP2'	mRNA	-0.554075489	9.89E-04	0.011489436	19.5	20.19	14.69	11.87	44.9	44.51	34.63	27.26
122961	122961	'ISCA2'	mRNA	-0.865528708	0.002342821	0.023481681	3.38	4.25	2.43	1.89	7.78	9.38	5.72	4.35
123879	123879	'DCUN1D3'	mRNA	-1.188089557	1.82E-13	1.67E-11	6.82	6.6	3.08	2.99	15.7	14.55	7.27	6.86
123920	123920	'CMTM3'	mRNA	-1.098852121	9.62E-11	6.01E-09	20.24	20.55	9.33	10.02	46.59	45.31	22	23.01
124540	124540	'MSI2'	mRNA	0.807454833	9.61E-09	4.37E-07	5.66	5.95	10.55	10.58	13.03	13.12	24.87	24.29
125	125	'ADH1B'	mRNA	-3.739374258	0.002014668	0.020664335	1.15	1.18	0.17	0.01	2.65	2.6	0.39	0.03
126393	126393	'HSPB6'	mRNA	-0.685800341	3.84E-06	9.43E-05	107.28	100.72	76.98	56.55	246.99	222.09	181.48	129.81
