ID	name	label	UP/DOWN	statistic	p.value	FDRp.value	type
N-hsa03320-10	PPAR signaling pathway: PLIN1	PLIN1	DOWN	-16.3042313863858	1.21953814346383e-39	2.75083458323859e-38	gene
N-hsa03320-40	PPAR signaling pathway: FABP4	FABP4	DOWN	-17.3855375898637	4.28632239216433e-43	1.42946547304276e-41	gene
N-hsa03320-38	PPAR signaling pathway: SORBS1	SORBS1	DOWN	-16.588311611069	1.49933461093134e-40	4.34596850075098e-39	gene
N-hsa03320-39	PPAR signaling pathway: MMP1	MMP1	UP	17.907037179449	9.51228362592089e-45	3.47086443126984e-43	gene
N-hsa03320-9	PPAR signaling pathway: PCK1	PCK1	DOWN	-2.35259015562602	0.0195310649840409	0.0252293203032082	gene
N-hsa03320-7	PPAR signaling pathway: AQP7	AQP7	DOWN	-18.4179558141667	2.32872020167672e-46	1.04674285586962e-44	gene
N-hsa03320-8	PPAR signaling pathway: GK	GK	UP	14.2081296565185	6.86445050132641e-33	9.21649057569864e-32	gene
N-hsa03320-64	PPAR signaling pathway: APOA5	APOA5	UP	2.83737786936184	0.00497630153100942	0.00682920318514412	gene
N-hsa03320-65	PPAR signaling pathway: ME1	ME1	DOWN	-4.16617944155785	4.46053042799604e-05	7.79618772748928e-05	gene
N-hsa03320-58	PPAR signaling pathway: CYP8B1	CYP8B1	DOWN	-8.28823138848101	1.16004458347037e-14	3.9149926829525e-14	gene
N-hsa03320-43	PPAR signaling pathway: ILK	ILK	DOWN	-10.0460008007521	9.09718631774563e-20	4.56921835862155e-19	gene
N-hsa03320-62	PPAR signaling pathway: UBC	UBC	UP	1.58650122389884	0.114070798388826	0.134649127003975	gene
N-hsa03320-60	PPAR signaling pathway: CYP27A1	CYP27A1	DOWN	-2.0307975013716	0.0434860331825511	0.0545267563839427	gene
N-hsa03320-53	PPAR signaling pathway: ADIPOQ	ADIPOQ	DOWN	-14.1009392793177	1.52102138903394e-32	1.97382754731747e-31	gene
N-hsa03460-6	Fanconi anemia pathway: FANCD2	FANCD2	UP	13.8594492469916	9.12403793315696e-32	1.06584571185259e-30	gene
N-hsa03460-21	Fanconi anemia pathway: ATR	ATR	UP	2.22072948526086	0.0273952898219572	0.0350088551227031	gene
N-hsa03460-24	Fanconi anemia pathway: BRCA2	BRCA2	UP	14.3428433338609	2.52490390139707e-33	3.52747272530767e-32	gene
N-hsa03460-29	Fanconi anemia pathway: FAN1	FAN1	DOWN	-5.80243302372571	2.27543165902014e-08	5.27053867845478e-08	gene
N-hsa03460-20 21	Fanconi anemia pathway: ATRIP ATR	ATRIP ATR	UP	8.60267050158409	1.52452269684243e-15	5.53990292238642e-15	gene
N-hsa03460-30 31	Fanconi anemia pathway: USP1 WDR48	USP1 WDR48	UP	0.527390689118718	0.598457046180581	0.621293566101781	gene
N-hsa03460-23 49	Fanconi anemia pathway: TELO2 C19orf40	TELO2 C19orf40	UP	17.792610602667	2.18973692209854e-44	7.85140932241458e-43	gene
N-hsa03460-26 12 24	Fanconi anemia pathway: BRIP1 PALB2 BRCA2	BRIP1 PALB2 BRCA2	UP	15.3191493299224	1.79482611247862e-36	3.1900591334398e-35	gene
N-hsa03460-1 10 11 13 2 3 32 35 4 50 51 8 9 14 17 18 19	Fanconi anemia pathway: FANCM FANCG FANCL C17orf70 FANCA FANCB UBE2T STRA13 FANCC C19orf40 HES1 FANCE FANCF BLM RMI1 RMI2 TOP3A	FANCM FANCG FANCL C17orf70 FANCA FANCB UBE2T STRA13 FANCC C19orf40 HES1 FANCE FANCF BLM RMI1 RMI2 TOP3A	UP	3.6921625388468	0.000280859008310123	0.00045357157733603	gene
N-hsa03460-27	Fanconi anemia pathway: BRCA1	BRCA1	UP	11.2837958167133	1.43758120099125e-23	9.24074216554274e-23	gene
N-hsa03460-48	Fanconi anemia pathway: RAD51	RAD51	UP	19.3335323457883	3.19965066069629e-49	1.83772528224992e-47	gene
N-hsa03460-25 40	Fanconi anemia pathway: MLH1 PMS2	MLH1 PMS2	UP	5.30112361072163	2.80807525688133e-07	5.88661399744335e-07	gene
N-hsa03460-7	Fanconi anemia pathway: FANCI	FANCI	UP	18.9404757903284	5.36524457840419e-48	2.91935194033695e-46	gene
N-hsa03460-16 49	Fanconi anemia pathway: FANCM C19orf40	FANCM C19orf40	UP	18.3904893282357	2.84111137670453e-46	1.26787150141713e-44	gene
N-hsa03460-16 34	Fanconi anemia pathway: FANCM STRA13	FANCM STRA13	UP	3.07855726734026	0.00234630800009615	0.0033040064755043	gene
N-hsa03460-28	Fanconi anemia pathway: RAD51C	RAD51C	UP	7.31352626450162	4.86413651313477e-12	1.44295737881277e-11	gene
N-hsa04010-1	MAPK signaling pathway: Lipopolysaccharide	Lipopolysaccharide	UP	-8	1	1	compound
N-hsa04010-2	MAPK signaling pathway: RASGRF1	RASGRF1	DOWN	-4.6847873468351	4.9233073983035e-06	9.25152250580933e-06	gene
N-hsa04010-3	MAPK signaling pathway: DUSP10	DUSP10	DOWN	-5.02146291458455	1.06326483862042e-06	2.15607446680695e-06	gene
N-hsa04010-4	MAPK signaling pathway: DUSP3	DUSP3	UP	1.57779569970006	0.116058242442408	0.136812861624906	gene
N-hsa04010-5	MAPK signaling pathway: PPM1B	PPM1B	UP	2.4639318859759	0.0145137269045404	0.0190094273625135	gene
N-hsa04010-6	MAPK signaling pathway: FASLG	FASLG	UP	1.64644669838405	0.101108407289938	0.120889639633671	gene
N-hsa04010-7	MAPK signaling pathway: Diacylglycerol	Diacylglycerol	UP	-8	1	1	compound
N-hsa04010-8	MAPK signaling pathway: 3,5-Cyclic AMP	3,5-Cyclic AMP	UP	-8	1	1	compound
N-hsa04010-11	MAPK signaling pathway: MAP4K4	MAP4K4	UP	0.603933314255875	0.54651407177481	0.570423487669384	gene
N-hsa04010-16	MAPK signaling pathway: CHUK	CHUK	UP	3.2824497470133	0.00119796290385423	0.00176381768160641	gene
N-hsa04010-17	MAPK signaling pathway: MAP3K14	MAP3K14	DOWN	-5.82979088847443	1.97494672208959e-08	4.581374164967e-08	gene
N-hsa04010-18	MAPK signaling pathway: MAPK1	MAPK1	UP	3.14180594487292	0.00191149526115139	0.00270584324621682	gene
N-hsa04010-22	MAPK signaling pathway: MOS	MOS	UP	0.0330211514032569	0.973687845158158	0.976048109811903	gene
N-hsa04010-23	MAPK signaling pathway: RAF1	RAF1	UP	1.70551035898805	0.0895194519904884	0.108048930046419	gene
N-hsa04010-24	MAPK signaling pathway: BRAF	BRAF	DOWN	-3.76539929571658	0.000213739966963769	0.000352332983012559	gene
N-hsa04010-25	MAPK signaling pathway: RASA1	RASA1	UP	0.939807467394071	0.348353425269772	0.379134066549153	gene
N-hsa04010-26	MAPK signaling pathway: NF1	NF1	UP	1.08201179773149	0.280439186877778	0.30909102277947	gene
N-hsa04010-27	MAPK signaling pathway: PRKCA	PRKCA	DOWN	-8.5394387185195	2.29946886452411e-15	8.11354116418831e-15	gene
N-hsa04010-28	MAPK signaling pathway: RAP1A	RAP1A	DOWN	-1.02398984865276	0.306971666144335	0.336183835645006	gene
N-hsa04010-29	MAPK signaling pathway: PRKACA	PRKACA	UP	3.34492251247436	0.000968509434439596	0.00143896144235421	gene
N-hsa04010-30	MAPK signaling pathway: RAPGEF2	RAPGEF2	DOWN	-11.0351267167461	8.54017272876556e-23	5.22432854403676e-22	gene
N-hsa04010-31	MAPK signaling pathway: RASA2	RASA2	DOWN	-3.68467969065232	0.000288738709860895	0.000465206809679775	gene
N-hsa04010-32	MAPK signaling pathway: RRAS2	RRAS2	DOWN	-4.0692256719151	6.58919330361904e-05	0.000112010868902025	gene
N-hsa04010-33	MAPK signaling pathway: RASGRP1	RASGRP1	UP	2.76392883486806	0.00619815250007103	0.00845735590803797	gene
N-hsa04010-35	MAPK signaling pathway: GNA12	GNA12	DOWN	-5.04353918858924	9.59002004037046e-07	1.94975071486129e-06	gene
N-hsa04010-41	MAPK signaling pathway: CACNG3	CACNG3	UP	7.57734473535188	9.87973011601287e-13	3.02487492150187e-12	gene
N-hsa04010-42	MAPK signaling pathway: PDGFA	PDGFA	DOWN	-3.33832129453507	0.000990660025207351	0.00146940797139196	gene
N-hsa04010-43	MAPK signaling pathway: FGF1	FGF1	DOWN	-17.4358055616906	2.96683745999808e-43	1.00564441335345e-41	gene
N-hsa04010-44	MAPK signaling pathway: EGF	EGF	DOWN	-4.34820891832485	2.10420156262154e-05	3.72950522628867e-05	gene
N-hsa04010-45	MAPK signaling pathway: NTF3	NTF3	DOWN	-15.0405301524784	1.4194676276294e-35	2.41231717648909e-34	gene
N-hsa04010-46	MAPK signaling pathway: BDNF	BDNF	DOWN	-10.1270810427685	5.17848584530722e-20	2.64597592244157e-19	gene
N-hsa04010-47	MAPK signaling pathway: NGF	NGF	DOWN	-7.29476252541121	5.44140433689958e-12	1.6088194042797e-11	gene
N-hsa04010-55	MAPK signaling pathway: MAPK7	MAPK7	DOWN	-1.09479942765	0.274809079229202	0.302993373348514	gene
N-hsa04010-56	MAPK signaling pathway: MAP2K5	MAP2K5	DOWN	-7.91974552862695	1.19219884794429e-13	3.84366395727571e-13	gene
N-hsa04010-59	MAPK signaling pathway: RPS6KA4	RPS6KA4	DOWN	-0.952653897333929	0.341817427194732	0.372504128757716	gene
N-hsa04010-60	MAPK signaling pathway: MAPKAPK3	MAPKAPK3	UP	15.6867838349556	1.17522089940165e-37	2.29965149494903e-36	gene
N-hsa04010-69	MAPK signaling pathway: MAPK14	MAPK14	UP	9.30764620045413	1.42374032013183e-17	5.86418406758151e-17	gene
N-hsa04010-70	MAPK signaling pathway: PPP5D1	PPP5D1	UP	9.29090067222112	1.59380733048965e-17	6.54727607352801e-17	gene
N-hsa04010-71	MAPK signaling pathway: MAP2K6	MAP2K6	DOWN	-12.045172267195	5.80127579589428e-26	4.38845289779661e-25	gene
N-hsa04010-72	MAPK signaling pathway: MAP2K3	MAP2K3	DOWN	-3.18032390471639	0.00168453973936359	0.00244140186992344	gene
N-hsa04010-73	MAPK signaling pathway: DUSP10*	DUSP10*	DOWN	-5.02146291458455	1.06326483862042e-06	2.15607446680695e-06	gene
N-hsa04010-74	MAPK signaling pathway: DUSP3*	DUSP3*	UP	1.57779569970006	0.116058242442408	0.136812861624906	gene
N-hsa04010-75	MAPK signaling pathway: PPM1A	PPM1A	UP	0.565463530227375	0.572338324417447	0.595473771613791	gene
N-hsa04010-76	MAPK signaling pathway: AKT3	AKT3	UP	3.37884951250964	0.000861773170517688	0.00130221168738641	gene
N-hsa04010-80	MAPK signaling pathway: MAP3K7	MAP3K7	UP	1.3553380599974	0.176708341342643	0.203211316527329	gene
N-hsa04010-81	MAPK signaling pathway: MAP3K5	MAP3K5	DOWN	-9.24113225052188	2.2277448931948e-17	9.0852738806623e-17	gene
N-hsa04010-82	MAPK signaling pathway: MAP3K6	MAP3K6	DOWN	-6.15680790583398	3.51029156915892e-09	8.67158048725319e-09	gene
N-hsa04010-83	MAPK signaling pathway: ZAK	ZAK	DOWN	-8.95133441155959	1.54200376268511e-16	5.93733664800481e-16	gene
N-hsa04010-84	MAPK signaling pathway: MAP3K12	MAP3K12	DOWN	-1.35231189552394	0.177672582660659	0.204282304030411	gene
N-hsa04010-85	MAPK signaling pathway: MAP3K13	MAP3K13	UP	7.9467343339351	1.00702915146611e-13	3.26534334895152e-13	gene
N-hsa04010-90	MAPK signaling pathway: TAB1	TAB1	DOWN	-0.488590211629107	0.625621531951576	0.648192811540943	gene
N-hsa04010-91	MAPK signaling pathway: GADD45G	GADD45G	DOWN	-0.388563980077246	0.69797681744322	0.719074937485517	gene
N-hsa04010-93	MAPK signaling pathway: DAXX	DAXX	UP	10.9277032551195	1.83796232533838e-22	1.09940986538804e-21	gene
N-hsa04010-94	MAPK signaling pathway: TRAF2	TRAF2	UP	12.1975109531276	1.90853076619722e-26	1.47613670108745e-25	gene
N-hsa04010-95	MAPK signaling pathway: CASP3	CASP3	UP	16.532951826483	2.25501860106502e-40	5.55074618349458e-39	gene
N-hsa04010-96	MAPK signaling pathway: CD14	CD14	DOWN	-5.16683594373309	5.35644907994381e-07	1.10495688868944e-06	gene
N-hsa04010-97	MAPK signaling pathway: TGFBR1	TGFBR1	DOWN	-15.7635331864433	6.65542266306884e-38	1.31896443383438e-36	gene
N-hsa04010-98	MAPK signaling pathway: FAS	FAS	DOWN	-5.39733143403448	1.75521533966762e-07	3.76603277480397e-07	gene
N-hsa04010-99	MAPK signaling pathway: IL1R1	IL1R1	DOWN	-7.35601416040547	3.77098765004174e-12	1.13166117045036e-11	gene
N-hsa04010-100	MAPK signaling pathway: TNFRSF1A	TNFRSF1A	DOWN	-1.39062189042934	0.16575388000497	0.191252105221509	gene
N-hsa04010-101	MAPK signaling pathway: TGFB1	TGFB1	UP	11.2746139930704	1.53561936742323e-23	9.68033225216084e-23	gene
N-hsa04010-102	MAPK signaling pathway: IL1A	IL1A	DOWN	-1.14641472319811	0.252876671402143	0.279956093647598	gene
N-hsa04010-103	MAPK signaling pathway: TNF	TNF	DOWN	-0.769411398181087	0.442479525799604	0.469500598449357	gene
N-hsa04010-104	MAPK signaling pathway: MAPKAPK5	MAPKAPK5	UP	6.23204518728321	2.33837180150486e-09	5.82760959611676e-09	gene
N-hsa04010-105	MAPK signaling pathway: RAC1	RAC1	UP	9.76434431005495	6.36053711308812e-19	3.00033549144377e-18	gene
N-hsa04010-106	MAPK signaling pathway: PAK1	PAK1	UP	12.200395162457	1.86873332987488e-26	1.46186241242284e-25	gene
N-hsa04010-110	MAPK signaling pathway: MAP2K7	MAP2K7	DOWN	-1.10759185325521	0.26925510454502	0.29713385758633	gene
N-hsa04010-111	MAPK signaling pathway: MAPK8	MAPK8	UP	6.5614757228126	3.80360533400432e-10	9.72938716982631e-10	gene
N-hsa04010-115	MAPK signaling pathway: MECOM	MECOM	DOWN	-7.73201980364647	3.82455864941818e-13	1.19575288822283e-12	gene
N-hsa04010-116	MAPK signaling pathway: HSPA1A	HSPA1A	UP	9.17193146770453	3.54435134702217e-17	1.41386568524621e-16	gene
N-hsa04010-121	MAPK signaling pathway: PPP3CA	PPP3CA	DOWN	-3.61278151879229	0.000375840859291085	0.000596708689578347	gene
N-hsa04010-126	MAPK signaling pathway: MAP3K8	MAP3K8	DOWN	-10.8155427190097	4.08241034333889e-22	2.39349634780067e-21	gene
N-hsa04010-128	MAPK signaling pathway: MAP4K3	MAP4K3	UP	2.86781559828079	0.00453764220173322	0.00624933272143676	gene
N-hsa04010-135	MAPK signaling pathway: RPS6KA6	RPS6KA6	DOWN	-7.7193732681228	4.13476269027121e-13	1.28690080119179e-12	gene
N-hsa04010-136	MAPK signaling pathway: MKNK2	MKNK2	DOWN	-0.389945820950619	0.69695620598577	0.719074937485517	gene
N-hsa04010-130 132 133	MAPK signaling pathway: SRF ELK4 ELK1	SRF ELK4 ELK1	UP	12.9280250269795	8.95204219531569e-29	8.46486550877183e-28	gene
N-hsa04010-19 21	MAPK signaling pathway: LAMTOR3 MAP2K1	LAMTOR3 MAP2K1	UP	2.33581799908154	0.0204063022502566	0.0263051315166961	gene
N-hsa04010-19 20	MAPK signaling pathway: LAMTOR3 MAP2K2	LAMTOR3 MAP2K2	UP	2.33570840239218	0.0204121329259622	0.0263071806648127	gene
N-hsa04010-34 36	MAPK signaling pathway: SOS1 GRB2	SOS1 GRB2	DOWN	-4.62247635404092	6.48173693851547e-06	1.20848254372141e-05	gene
N-hsa04010-89 92	MAPK signaling pathway: TAB2 TRAF6	TAB2 TRAF6	DOWN	-4.81072372595757	2.8006427361978e-06	5.34534981311845e-06	gene
N-hsa04010-108 127	MAPK signaling pathway: MAPK8IP2 MAP4K1	MAPK8IP2 MAP4K1	UP	3.13211020291373	0.00197291823546143	0.00279215418995375	gene
N-hsa04010-109 123	MAPK signaling pathway: MAP3K11 MAPK8IP3	MAP3K11 MAPK8IP3	DOWN	-0.209359730245349	0.834362362673573	0.847062149863204	gene
N-hsa04010-112 113	MAPK signaling pathway: MAP2K4 CRK	MAP2K4 CRK	DOWN	-0.38453912122055	0.700952660517842	0.722020815873825	gene
N-hsa04010-112 124	MAPK signaling pathway: MAP2K4 FLNA	MAP2K4 FLNA	DOWN	-0.241517154463266	0.809380675630919	0.823182215271124	gene
N-hsa04010-112 114	MAPK signaling pathway: MAP2K4 ARRB1	MAP2K4 ARRB1	DOWN	-4.169420552559	4.40219727463542e-05	7.69640070309006e-05	gene
N-hsa04010-123 125	MAPK signaling pathway: MAPK8IP3 MAP3K1	MAPK8IP3 MAP3K1	DOWN	-0.400406916670415	0.689247785615701	0.711500085567347	gene
N-hsa04010-36 37	MAPK signaling pathway: GRB2 PDGFRA	GRB2 PDGFRA	UP	2.63172684880484	0.00910039647457856	0.0121939383570311	gene
N-hsa04010-36 38	MAPK signaling pathway: GRB2 FGFR1	GRB2 FGFR1	DOWN	-8.61008240847619	1.45268238860639e-15	5.28813900030837e-15	gene
N-hsa04010-36 39	MAPK signaling pathway: GRB2 EGFR	GRB2 EGFR	DOWN	-15.3292655420028	1.66504282036234e-36	2.98504642043573e-35	gene
N-hsa04010-36 40	MAPK signaling pathway: GRB2 NTRK1	GRB2 NTRK1	DOWN	-18.5266514856303	1.06070618637089e-46	4.8379121132784e-45	gene
N-hsa04010-15	MAPK signaling pathway: NFKB1	NFKB1	UP	5.0169044925499	1.08612227643986e-06	2.20098545598054e-06	gene
N-hsa04010-13	MAPK signaling pathway: STMN1	STMN1	UP	15.6863505925633	1.17899975275489e-37	2.2997910271505e-36	gene
N-hsa04010-12	MAPK signaling pathway: PLA2G4B	PLA2G4B	DOWN	-6.22374030790961	2.44600394823229e-09	6.06175089527962e-09	gene
N-hsa04010-131	MAPK signaling pathway: MYC	MYC	DOWN	-9.68048519752636	1.13043041143145e-18	5.15972026645273e-18	gene
N-hsa04010-61	MAPK signaling pathway: ATF4	ATF4	DOWN	-2.08587758058338	0.0381496730240022	0.0479615771722509	gene
N-hsa04010-79	MAPK signaling pathway: HSPB1	HSPB1	UP	8.05129927764375	5.22157093897512e-14	1.71827079758423e-13	gene
N-hsa04010-68	MAPK signaling pathway: ATF2	ATF2	UP	1.88032996942574	0.0613926476740479	0.0757998792838613	gene
N-hsa04010-67	MAPK signaling pathway: ELK1	ELK1	UP	13.8813925039209	7.75381638322704e-32	9.17880210403766e-31	gene
N-hsa04010-66	MAPK signaling pathway: TP53	TP53	UP	3.25181374225122	0.00132810472693597	0.00193795192217921	gene
N-hsa04010-65	MAPK signaling pathway: ELK4	ELK4	UP	3.9626076479868	0.000100377088609995	0.00016841738724582	gene
N-hsa04010-64	MAPK signaling pathway: DDIT3	DDIT3	DOWN	-1.15058282360703	0.25116070705213	0.278354451642731	gene
N-hsa04010-63	MAPK signaling pathway: MAX	MAX	UP	5.54660448162574	8.36728397477249e-08	1.84312011702819e-07	gene
N-hsa04010-62	MAPK signaling pathway: MEF2C	MEF2C	DOWN	-10.9249269936536	1.87468131488174e-22	1.11921541830717e-21	gene
N-hsa04010-58	MAPK signaling pathway: CDC25B	CDC25B	UP	7.50793865320144	1.50729769068037e-12	4.58771716157522e-12	gene
N-hsa04010-57	MAPK signaling pathway: NLK	NLK	UP	10.1653150770852	3.96804021745155e-20	2.04603104479235e-19	gene
N-hsa04010-86	MAPK signaling pathway: MAP4K2	MAP4K2	UP	5.1015647386953	7.30012316863379e-07	1.49497074991863e-06	gene
N-hsa04010-87	MAPK signaling pathway: STK3	STK3	UP	11.7049004901174	6.88169477242227e-25	4.63990789927558e-24	gene
N-hsa04010-88 92	MAPK signaling pathway: ECSIT TRAF6	ECSIT TRAF6	DOWN	-4.31276986299886	2.44029790485109e-05	4.30767441769815e-05	gene
N-hsa04010-118	MAPK signaling pathway: JUN	JUN	DOWN	-13.1799131559754	1.39566747406333e-29	1.36766593074484e-28	gene
N-hsa04010-117	MAPK signaling pathway: JUND	JUND	DOWN	-7.11196186196514	1.6084467678118e-11	4.63408978204208e-11	gene
N-hsa04010-120	MAPK signaling pathway: NFATC1	NFATC1	DOWN	-6.98208357733173	3.43995281277236e-11	9.55148939016425e-11	gene
N-hsa04010-119	MAPK signaling pathway: NFATC3	NFATC3	DOWN	-4.60288804415402	7.0630284861966e-06	1.31409615176597e-05	gene
N-hsa04010-134	MAPK signaling pathway: ATF4*	ATF4*	DOWN	-2.08587758058338	0.0381496730240022	0.0479615771722509	gene
N-hsa04010-14	MAPK signaling pathway: MAPT	MAPT	UP	0.0193222042987344	0.984601691817809	0.985554993439707	gene
N-hsa04010-54	MAPK signaling pathway: NR4A1	NR4A1	DOWN	-9.9969204004965	1.27849862358423e-19	6.32418418029741e-19	gene
N-hsa04010-78	MAPK signaling pathway: MAP3K4	MAP3K4	DOWN	-6.8712863887706	6.53596812238154e-11	1.77351750932339e-10	gene
N-hsa04010-107	MAPK signaling pathway: MAP3K2	MAP3K2	UP	3.35172497224468	0.000946167358039919	0.00142730450435837	gene
N-hsa04010-129	MAPK signaling pathway: FOS	FOS	DOWN	-12.3612193571325	5.76300165270112e-27	4.67904440467344e-26	gene
N-hsa04012-2	ErbB signaling pathway: GRB2	GRB2	UP	11.9606017066362	1.07416325357916e-25	7.58024421154898e-25	gene
N-hsa04012-4	ErbB signaling pathway: ERBB4	ERBB4	DOWN	-1.82812333012527	0.0688937094159095	0.084439375520033	gene
N-hsa04012-6	ErbB signaling pathway: ERBB3	ERBB3	UP	8.20511476164139	1.97128621625697e-14	6.60966940510378e-14	gene
N-hsa04012-13	ErbB signaling pathway: EGFR	EGFR	DOWN	-18.1103007946271	2.16855065133073e-45	8.15243617588153e-44	gene
N-hsa04012-26	ErbB signaling pathway: MTOR	MTOR	UP	1.84043109236028	0.0670602572126463	0.082289767653817	gene
N-hsa04012-27	ErbB signaling pathway: PAK4	PAK4	UP	19.377968038607	2.32854109081636e-49	1.43009310755781e-47	gene
N-hsa04012-28	ErbB signaling pathway: NCK1	NCK1	DOWN	-4.18092115774243	4.20103424717135e-05	7.35299532596046e-05	gene
N-hsa04012-32	ErbB signaling pathway: GAB1	GAB1	DOWN	-2.74296238046213	0.00659372123266499	0.00896358816704381	gene
N-hsa04012-33	ErbB signaling pathway: TGFA	TGFA	DOWN	-3.56685225926579	0.000443845842449067	0.000701267386834325	gene
N-hsa04012-34	ErbB signaling pathway: MAP2K7	MAP2K7	UP	1.39427764674417	0.164648963844816	0.190508771260845	gene
