ID	name	UP/DOWN	statistic	p.value	FDRp.value	N.nodes	N.gene.nodes	N.measured.nodes	ratio.measured.gene.nodes	nodes	N.DA.nodes	DA.nodes
P-hsa03320-53	PPAR signaling pathway: ADIPOQ	DOWN	-15.7414074458757	9.96458401008744e-38	2.14868501183035e-36	6	2	2	1	N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-54, N-hsa03320-18 19, N-hsa03320-53	2	N-hsa03320-18 19, N-hsa03320-53
P-hsa03320-38	PPAR signaling pathway: SORBS1	DOWN	-16.8628007762921	2.6369392213385e-41	1.07541260418066e-39	6	2	2	1	N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-54, N-hsa03320-18 19, N-hsa03320-38	2	N-hsa03320-18 19, N-hsa03320-38
P-hsa03320-39	PPAR signaling pathway: MMP1	UP	12.7726503747429	3.22830575810952e-28	2.88395314391117e-27	6	2	2	1	N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-54, N-hsa03320-18 19, N-hsa03320-39	2	N-hsa03320-18 19, N-hsa03320-39
P-hsa03320-9	PPAR signaling pathway: PCK1	DOWN	-10.6050780158165	1.96550858552498e-21	1.06569193827886e-20	6	2	2	1	N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-54, N-hsa03320-18 19, N-hsa03320-9	2	N-hsa03320-18 19, N-hsa03320-9
P-hsa03320-7	PPAR signaling pathway: AQP7	DOWN	-17.9338216594558	1.08507173165469e-44	7.53923914290446e-43	6	2	2	1	N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-54, N-hsa03320-18 19, N-hsa03320-7	2	N-hsa03320-18 19, N-hsa03320-7
P-hsa03320-8	PPAR signaling pathway: GK	DOWN	-7.8790471103093	1.58571193900015e-13	4.83706601229965e-13	6	2	2	1	N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-54, N-hsa03320-18 19, N-hsa03320-8	2	N-hsa03320-18 19, N-hsa03320-8
P-hsa03320-32	PPAR signaling pathway: FABP3	UP	0.319609964095138	0.749572130671684	0.82233761236262	3	2	2	1	N-hsa03320-49, N-hsa03320-16 17, N-hsa03320-32	1	N-hsa03320-16 17
P-hsa03320-23	PPAR signaling pathway: ACADL	DOWN	-16.6296361976673	1.45410470028533e-40	5.14698192025524e-39	3	2	2	1	N-hsa03320-49, N-hsa03320-16 17, N-hsa03320-23	2	N-hsa03320-16 17, N-hsa03320-23
P-hsa03320-43	PPAR signaling pathway: ILK	DOWN	-8.63607124157236	1.27928798039888e-15	4.51117340456449e-15	3	2	2	1	N-hsa03320-49, N-hsa03320-16 17, N-hsa03320-43	2	N-hsa03320-16 17, N-hsa03320-43
P-hsa03320-45	PPAR signaling pathway: PDPK1	UP	7.97894782564912	8.50225951045891e-14	2.65394989045273e-13	3	2	2	1	N-hsa03320-49, N-hsa03320-16 17, N-hsa03320-45	2	N-hsa03320-16 17, N-hsa03320-45
P-hsa03320-62	PPAR signaling pathway: UBC	UP	4.23895306346953	3.32466982109559e-05	6.01454251145162e-05	3	2	2	1	N-hsa03320-49, N-hsa03320-16 17, N-hsa03320-62	1	N-hsa03320-16 17
P-hsa03460-48	Fanconi anemia pathway: RAD51	UP	11.9411568181067	1.38750111877397e-25	1.03574595247516e-24	7	7	7	1	N-hsa03460-6, N-hsa03460-24, N-hsa03460-20 21, N-hsa03460-30 31, N-hsa03460-23 49, N-hsa03460-1 10 11 13 2 3 32 35 4 50 51 8 9 14 17 18 19, N-hsa03460-48	6	N-hsa03460-6, N-hsa03460-24, N-hsa03460-20 21, N-hsa03460-23 49, N-hsa03460-1 10 11 13 2 3 32 35 4 50 51 8 9 14 17 18 19, N-hsa03460-48
P-hsa03460-25 40	Fanconi anemia pathway: MLH1 PMS2	UP	1.63593951546005	0.103304755602474	0.132016159066921	8	8	8	1	N-hsa03460-6, N-hsa03460-29, N-hsa03460-20 21, N-hsa03460-30 31, N-hsa03460-23 49, N-hsa03460-26 12 24, N-hsa03460-1 10 11 13 2 3 32 35 4 50 51 8 9 14 17 18 19, N-hsa03460-25 40	7	N-hsa03460-6, N-hsa03460-29, N-hsa03460-20 21, N-hsa03460-23 49, N-hsa03460-26 12 24, N-hsa03460-1 10 11 13 2 3 32 35 4 50 51 8 9 14 17 18 19, N-hsa03460-25 40
P-hsa03460-28	Fanconi anemia pathway: RAD51C	UP	6.9322131432508	4.68985237171576e-11	1.26048181222618e-10	7	7	7	1	N-hsa03460-6, N-hsa03460-20 21, N-hsa03460-30 31, N-hsa03460-23 49, N-hsa03460-26 12 24, N-hsa03460-1 10 11 13 2 3 32 35 4 50 51 8 9 14 17 18 19, N-hsa03460-28	6	N-hsa03460-6, N-hsa03460-20 21, N-hsa03460-23 49, N-hsa03460-26 12 24, N-hsa03460-1 10 11 13 2 3 32 35 4 50 51 8 9 14 17 18 19, N-hsa03460-28
P-hsa03460-7	Fanconi anemia pathway: FANCI	UP	8.92430185791299	1.93328363272712e-16	7.2974649798714e-16	5	5	5	1	N-hsa03460-20 21, N-hsa03460-30 31, N-hsa03460-23 49, N-hsa03460-1 10 11 13 2 3 32 35 4 50 51 8 9 14 17 18 19, N-hsa03460-7	4	N-hsa03460-20 21, N-hsa03460-23 49, N-hsa03460-1 10 11 13 2 3 32 35 4 50 51 8 9 14 17 18 19, N-hsa03460-7
P-hsa03460-27	Fanconi anemia pathway: BRCA1	UP	15.635464874001	2.1760054710937e-37	4.48591897117779e-36	3	3	3	1	N-hsa03460-21, N-hsa03460-23 49, N-hsa03460-27	3	N-hsa03460-21, N-hsa03460-23 49, N-hsa03460-27
P-hsa03460-16 49	Fanconi anemia pathway: FANCM C19orf40	UP	17.7649360156189	3.68871128089624e-44	2.38621460791771e-42	3	3	3	1	N-hsa03460-20 21, N-hsa03460-23 49, N-hsa03460-16 49	3	N-hsa03460-20 21, N-hsa03460-23 49, N-hsa03460-16 49
P-hsa03460-16 34	Fanconi anemia pathway: FANCM STRA13	UP	14.6048265590538	4.3998893682668e-34	6.65660681844235e-33	3	3	3	1	N-hsa03460-20 21, N-hsa03460-23 49, N-hsa03460-16 34	3	N-hsa03460-20 21, N-hsa03460-23 49, N-hsa03460-16 34
P-hsa04010-15	MAPK signaling pathway: NFKB1	DOWN	-4.21745117801662	3.63132715039699e-05	6.55035551360073e-05	20	19	19	1	N-hsa04010-1, N-hsa04010-5, N-hsa04010-11, N-hsa04010-16, N-hsa04010-17, N-hsa04010-80, N-hsa04010-90, N-hsa04010-94, N-hsa04010-95, N-hsa04010-96, N-hsa04010-99, N-hsa04010-100, N-hsa04010-102, N-hsa04010-103, N-hsa04010-105, N-hsa04010-126, N-hsa04010-128, N-hsa04010-89 92, N-hsa04010-123 125, N-hsa04010-15	12	N-hsa04010-5, N-hsa04010-16, N-hsa04010-17, N-hsa04010-94, N-hsa04010-95, N-hsa04010-96, N-hsa04010-99, N-hsa04010-105, N-hsa04010-126, N-hsa04010-128, N-hsa04010-89 92, N-hsa04010-15
P-hsa04010-61	MAPK signaling pathway: ATF4	DOWN	-0.757975800758716	0.449289500714921	0.521385659997533	29	28	28	1	N-hsa04010-1, N-hsa04010-5, N-hsa04010-6, N-hsa04010-59, N-hsa04010-60, N-hsa04010-69, N-hsa04010-70, N-hsa04010-71, N-hsa04010-72, N-hsa04010-73, N-hsa04010-74, N-hsa04010-75, N-hsa04010-76, N-hsa04010-80, N-hsa04010-81, N-hsa04010-82, N-hsa04010-90, N-hsa04010-93, N-hsa04010-94, N-hsa04010-96, N-hsa04010-97, N-hsa04010-98, N-hsa04010-99, N-hsa04010-100, N-hsa04010-101, N-hsa04010-102, N-hsa04010-103, N-hsa04010-89 92, N-hsa04010-61	19	N-hsa04010-5, N-hsa04010-60, N-hsa04010-69, N-hsa04010-70, N-hsa04010-71, N-hsa04010-72, N-hsa04010-73, N-hsa04010-76, N-hsa04010-81, N-hsa04010-82, N-hsa04010-93, N-hsa04010-94, N-hsa04010-96, N-hsa04010-97, N-hsa04010-98, N-hsa04010-99, N-hsa04010-101, N-hsa04010-89 92, N-hsa04010-61
P-hsa04010-79	MAPK signaling pathway: HSPB1	UP	5.55297864326021	8.18020383062841e-08	1.79696280869542e-07	29	28	28	1	N-hsa04010-1, N-hsa04010-5, N-hsa04010-6, N-hsa04010-60, N-hsa04010-69, N-hsa04010-70, N-hsa04010-71, N-hsa04010-72, N-hsa04010-73, N-hsa04010-74, N-hsa04010-75, N-hsa04010-76, N-hsa04010-80, N-hsa04010-81, N-hsa04010-82, N-hsa04010-90, N-hsa04010-93, N-hsa04010-94, N-hsa04010-96, N-hsa04010-97, N-hsa04010-98, N-hsa04010-99, N-hsa04010-100, N-hsa04010-101, N-hsa04010-102, N-hsa04010-103, N-hsa04010-104, N-hsa04010-89 92, N-hsa04010-79	20	N-hsa04010-5, N-hsa04010-60, N-hsa04010-69, N-hsa04010-70, N-hsa04010-71, N-hsa04010-72, N-hsa04010-73, N-hsa04010-76, N-hsa04010-81, N-hsa04010-82, N-hsa04010-93, N-hsa04010-94, N-hsa04010-96, N-hsa04010-97, N-hsa04010-98, N-hsa04010-99, N-hsa04010-101, N-hsa04010-104, N-hsa04010-89 92, N-hsa04010-79
P-hsa04010-68	MAPK signaling pathway: ATF2	DOWN	-3.1454852254671	0.00189095206756795	0.00299108438343801	27	26	26	1	N-hsa04010-1, N-hsa04010-5, N-hsa04010-6, N-hsa04010-69, N-hsa04010-70, N-hsa04010-71, N-hsa04010-72, N-hsa04010-73, N-hsa04010-74, N-hsa04010-75, N-hsa04010-76, N-hsa04010-80, N-hsa04010-81, N-hsa04010-82, N-hsa04010-90, N-hsa04010-93, N-hsa04010-94, N-hsa04010-96, N-hsa04010-97, N-hsa04010-98, N-hsa04010-99, N-hsa04010-100, N-hsa04010-101, N-hsa04010-102, N-hsa04010-103, N-hsa04010-89 92, N-hsa04010-68	17	N-hsa04010-5, N-hsa04010-69, N-hsa04010-70, N-hsa04010-71, N-hsa04010-72, N-hsa04010-73, N-hsa04010-76, N-hsa04010-81, N-hsa04010-82, N-hsa04010-93, N-hsa04010-94, N-hsa04010-96, N-hsa04010-97, N-hsa04010-98, N-hsa04010-99, N-hsa04010-101, N-hsa04010-89 92
P-hsa04010-67	MAPK signaling pathway: ELK1	UP	2.99813571110446	0.00303379375712451	0.00464707612101011	44	43	43	1	N-hsa04010-1, N-hsa04010-5, N-hsa04010-6, N-hsa04010-11, N-hsa04010-69, N-hsa04010-70, N-hsa04010-71, N-hsa04010-72, N-hsa04010-73, N-hsa04010-74, N-hsa04010-75, N-hsa04010-76, N-hsa04010-80, N-hsa04010-81, N-hsa04010-82, N-hsa04010-83, N-hsa04010-84, N-hsa04010-85, N-hsa04010-90, N-hsa04010-93, N-hsa04010-94, N-hsa04010-95, N-hsa04010-96, N-hsa04010-97, N-hsa04010-98, N-hsa04010-99, N-hsa04010-100, N-hsa04010-101, N-hsa04010-102, N-hsa04010-103, N-hsa04010-105, N-hsa04010-110, N-hsa04010-111, N-hsa04010-115, N-hsa04010-116, N-hsa04010-128, N-hsa04010-89 92, N-hsa04010-108 127, N-hsa04010-109 123, N-hsa04010-112 113, N-hsa04010-112 124, N-hsa04010-112 114, N-hsa04010-123 125, N-hsa04010-67	28	N-hsa04010-5, N-hsa04010-69, N-hsa04010-70, N-hsa04010-71, N-hsa04010-72, N-hsa04010-73, N-hsa04010-76, N-hsa04010-81, N-hsa04010-82, N-hsa04010-83, N-hsa04010-85, N-hsa04010-93, N-hsa04010-94, N-hsa04010-95, N-hsa04010-96, N-hsa04010-97, N-hsa04010-98, N-hsa04010-99, N-hsa04010-101, N-hsa04010-105, N-hsa04010-111, N-hsa04010-115, N-hsa04010-116, N-hsa04010-128, N-hsa04010-89 92, N-hsa04010-108 127, N-hsa04010-112 114, N-hsa04010-67
P-hsa04010-66	MAPK signaling pathway: TP53	UP	0.752693544373086	0.452451490331359	0.524597648863801	44	43	43	1	N-hsa04010-1, N-hsa04010-5, N-hsa04010-6, N-hsa04010-11, N-hsa04010-69, N-hsa04010-70, N-hsa04010-71, N-hsa04010-72, N-hsa04010-73, N-hsa04010-74, N-hsa04010-75, N-hsa04010-76, N-hsa04010-80, N-hsa04010-81, N-hsa04010-82, N-hsa04010-83, N-hsa04010-84, N-hsa04010-85, N-hsa04010-90, N-hsa04010-93, N-hsa04010-94, N-hsa04010-95, N-hsa04010-96, N-hsa04010-97, N-hsa04010-98, N-hsa04010-99, N-hsa04010-100, N-hsa04010-101, N-hsa04010-102, N-hsa04010-103, N-hsa04010-105, N-hsa04010-110, N-hsa04010-111, N-hsa04010-115, N-hsa04010-116, N-hsa04010-128, N-hsa04010-89 92, N-hsa04010-108 127, N-hsa04010-109 123, N-hsa04010-112 113, N-hsa04010-112 124, N-hsa04010-112 114, N-hsa04010-123 125, N-hsa04010-66	28	N-hsa04010-5, N-hsa04010-69, N-hsa04010-70, N-hsa04010-71, N-hsa04010-72, N-hsa04010-73, N-hsa04010-76, N-hsa04010-81, N-hsa04010-82, N-hsa04010-83, N-hsa04010-85, N-hsa04010-93, N-hsa04010-94, N-hsa04010-95, N-hsa04010-96, N-hsa04010-97, N-hsa04010-98, N-hsa04010-99, N-hsa04010-101, N-hsa04010-105, N-hsa04010-111, N-hsa04010-115, N-hsa04010-116, N-hsa04010-128, N-hsa04010-89 92, N-hsa04010-108 127, N-hsa04010-112 114, N-hsa04010-66
P-hsa04010-65	MAPK signaling pathway: ELK4	DOWN	-1.98588760254818	0.0483070722345417	0.0646852730278374	27	26	26	1	N-hsa04010-1, N-hsa04010-5, N-hsa04010-6, N-hsa04010-69, N-hsa04010-70, N-hsa04010-71, N-hsa04010-72, N-hsa04010-73, N-hsa04010-74, N-hsa04010-75, N-hsa04010-76, N-hsa04010-80, N-hsa04010-81, N-hsa04010-82, N-hsa04010-90, N-hsa04010-93, N-hsa04010-94, N-hsa04010-96, N-hsa04010-97, N-hsa04010-98, N-hsa04010-99, N-hsa04010-100, N-hsa04010-101, N-hsa04010-102, N-hsa04010-103, N-hsa04010-89 92, N-hsa04010-65	18	N-hsa04010-5, N-hsa04010-69, N-hsa04010-70, N-hsa04010-71, N-hsa04010-72, N-hsa04010-73, N-hsa04010-76, N-hsa04010-81, N-hsa04010-82, N-hsa04010-93, N-hsa04010-94, N-hsa04010-96, N-hsa04010-97, N-hsa04010-98, N-hsa04010-99, N-hsa04010-101, N-hsa04010-89 92, N-hsa04010-65
P-hsa04010-64	MAPK signaling pathway: DDIT3	DOWN	-3.41384728151939	0.000764494562428285	0.00124712330357866	27	26	26	1	N-hsa04010-1, N-hsa04010-5, N-hsa04010-6, N-hsa04010-69, N-hsa04010-70, N-hsa04010-71, N-hsa04010-72, N-hsa04010-73, N-hsa04010-74, N-hsa04010-75, N-hsa04010-76, N-hsa04010-80, N-hsa04010-81, N-hsa04010-82, N-hsa04010-90, N-hsa04010-93, N-hsa04010-94, N-hsa04010-96, N-hsa04010-97, N-hsa04010-98, N-hsa04010-99, N-hsa04010-100, N-hsa04010-101, N-hsa04010-102, N-hsa04010-103, N-hsa04010-89 92, N-hsa04010-64	17	N-hsa04010-5, N-hsa04010-69, N-hsa04010-70, N-hsa04010-71, N-hsa04010-72, N-hsa04010-73, N-hsa04010-76, N-hsa04010-81, N-hsa04010-82, N-hsa04010-93, N-hsa04010-94, N-hsa04010-96, N-hsa04010-97, N-hsa04010-98, N-hsa04010-99, N-hsa04010-101, N-hsa04010-89 92
P-hsa04010-63	MAPK signaling pathway: MAX	DOWN	-2.05221935006601	0.0413510394681746	0.055889445275429	27	26	26	1	N-hsa04010-1, N-hsa04010-5, N-hsa04010-6, N-hsa04010-69, N-hsa04010-70, N-hsa04010-71, N-hsa04010-72, N-hsa04010-73, N-hsa04010-74, N-hsa04010-75, N-hsa04010-76, N-hsa04010-80, N-hsa04010-81, N-hsa04010-82, N-hsa04010-90, N-hsa04010-93, N-hsa04010-94, N-hsa04010-96, N-hsa04010-97, N-hsa04010-98, N-hsa04010-99, N-hsa04010-100, N-hsa04010-101, N-hsa04010-102, N-hsa04010-103, N-hsa04010-89 92, N-hsa04010-63	18	N-hsa04010-5, N-hsa04010-69, N-hsa04010-70, N-hsa04010-71, N-hsa04010-72, N-hsa04010-73, N-hsa04010-76, N-hsa04010-81, N-hsa04010-82, N-hsa04010-93, N-hsa04010-94, N-hsa04010-96, N-hsa04010-97, N-hsa04010-98, N-hsa04010-99, N-hsa04010-101, N-hsa04010-89 92, N-hsa04010-63
