path_id	numberOfCircuits	circuit_id	circuit_name
hsa04014	32	P-hsa04014-68	Ras signaling pathway: RALGDS*
hsa04014	32	P-hsa04014-69	Ras signaling pathway: PLCE1*
hsa04014	32	P-hsa04014-70	Ras signaling pathway: RIN1*
hsa04014	32	P-hsa04014-67	Ras signaling pathway: RAPGEF5*
hsa04014	32	P-hsa04014-76	Ras signaling pathway: RALBP1*
hsa04015	14	P-hsa04015-17	Rap1 signaling pathway: ACTB
hsa04015	14	P-hsa04015-82	Rap1 signaling pathway: ITGA2B
hsa04015	14	P-hsa04015-27	Rap1 signaling pathway: RALA
hsa04015	14	P-hsa04015-11	Rap1 signaling pathway: RAC1
hsa04015	14	P-hsa04015-30	Rap1 signaling pathway: ITGAL
hsa04015	14	P-hsa04015-14	Rap1 signaling pathway: MAPK14
hsa04015	14	P-hsa04015-3	Rap1 signaling pathway: MAPK1
hsa04015	14	P-hsa04015-18	Rap1 signaling pathway: CDH1
hsa04015	14	P-hsa04015-67	Rap1 signaling pathway: AKT3
hsa04015	14	P-hsa04015-95	Rap1 signaling pathway: THBS1
hsa04015	14	P-hsa04015-100 101 48	Rap1 signaling pathway: PRKCI PARD6A PARD3
hsa04015	14	P-hsa04015-96	Rap1 signaling pathway: PLCE1
hsa04015	14	P-hsa04015-63	Rap1 signaling pathway: GNAI1
hsa04015	14	P-hsa04015-92	Rap1 signaling pathway: Calcium cation*
hsa04020	10	P-hsa04020-64	Calcium signaling pathway: Sodium cation*
hsa04020	10	P-hsa04020-12	Calcium signaling pathway: Sodium cation
hsa04020	10	P-hsa04020-18	Calcium signaling pathway: ATP
hsa04020	10	P-hsa04020-17	Calcium signaling pathway: NADH
hsa04020	10	P-hsa04020-15	Calcium signaling pathway: Nicotinic acid adenine dinucleotide phosphate
hsa04020	10	P-hsa04020-22	Calcium signaling pathway: 3,5-Cyclic AMP
hsa04020	10	P-hsa04020-16	Calcium signaling pathway: Sphingosine 1-phosphate
hsa04020	10	P-hsa04020-42	Calcium signaling pathway: MYLK4
hsa04020	10	P-hsa04020-8	Calcium signaling pathway: PDE1A
hsa04020	10	P-hsa04020-7	Calcium signaling pathway: ADCY1
hsa04022	22	P-hsa04022-3	cGMP-PKG signaling pathway: MYL9
hsa04022	22	P-hsa04022-23	cGMP-PKG signaling pathway: CACNA1C
hsa04022	22	P-hsa04022-9	cGMP-PKG signaling pathway: ITPR1
hsa04022	22	P-hsa04022-43	cGMP-PKG signaling pathway: MAPK1
hsa04022	22	P-hsa04022-39	cGMP-PKG signaling pathway: KCNJ8
hsa04022	22	P-hsa04022-48	cGMP-PKG signaling pathway: SLC8A2
hsa04022	22	P-hsa04022-49	cGMP-PKG signaling pathway: ATP1B4
hsa04022	22	P-hsa04022-50	cGMP-PKG signaling pathway: ATP2B1
hsa04022	22	P-hsa04022-51	cGMP-PKG signaling pathway: GTF2I
hsa04022	22	P-hsa04022-45	cGMP-PKG signaling pathway: CREB3
hsa04022	22	P-hsa04022-44	cGMP-PKG signaling pathway: BAD
hsa04022	22	P-hsa04022-46	cGMP-PKG signaling pathway: VASP
hsa04022	22	P-hsa04022-58	cGMP-PKG signaling pathway: MYH7
hsa04022	22	P-hsa04022-59	cGMP-PKG signaling pathway: NPPB
hsa04022	22	P-hsa04022-60	cGMP-PKG signaling pathway: TRPC6*
hsa04022	22	P-hsa04022-37 38	cGMP-PKG signaling pathway: ATP2A1 PLN
hsa04022	22	P-hsa04022-19	cGMP-PKG signaling pathway: CNGB1
hsa04022	22	P-hsa04022-65	cGMP-PKG signaling pathway: PDE2A
hsa04022	22	P-hsa04022-57	cGMP-PKG signaling pathway: GMP
hsa04022	22	P-hsa04022-66	cGMP-PKG signaling pathway: PDE3A
hsa04022	22	P-hsa04022-63	cGMP-PKG signaling pathway: 3,5-Cyclic AMP
hsa04022	22	P-hsa04022-71	cGMP-PKG signaling pathway: PPIF
hsa04024	35	P-hsa04024-109	cAMP signaling pathway: BDNF
hsa04024	35	P-hsa04024-110	cAMP signaling pathway: FOS
hsa04024	35	P-hsa04024-111	cAMP signaling pathway: JUN
hsa04024	35	P-hsa04024-44 67	cAMP signaling pathway: CREB3 CREBBP
hsa04024	35	P-hsa04024-118	cAMP signaling pathway: MYL9
hsa04024	35	P-hsa04024-112	cAMP signaling pathway: GLI1
hsa04024	35	P-hsa04024-113	cAMP signaling pathway: PTCH1
hsa04024	35	P-hsa04024-114	cAMP signaling pathway: HHIP
hsa04024	35	P-hsa04024-116	cAMP signaling pathway: ACOX1
hsa04024	35	P-hsa04024-115	cAMP signaling pathway: F2R
hsa04024	35	P-hsa04024-108	cAMP signaling pathway: AMH
hsa04024	35	P-hsa04024-93	cAMP signaling pathway: ORAI1
hsa04024	35	P-hsa04024-62	cAMP signaling pathway: BAD
hsa04024	35	P-hsa04024-107 64	cAMP signaling pathway: NFKBIA NFKB1
hsa04024	35	P-hsa04024-24	cAMP signaling pathway: PLN
hsa04024	35	P-hsa04024-3	cAMP signaling pathway: RYR2
hsa04024	35	P-hsa04024-92	cAMP signaling pathway: GRIN3A
hsa04024	35	P-hsa04024-91	cAMP signaling pathway: GRIA1
hsa04024	35	P-hsa04024-25	cAMP signaling pathway: CFTR
hsa04024	35	P-hsa04024-12	cAMP signaling pathway: SLC9A1
hsa04024	35	P-hsa04024-34	cAMP signaling pathway: ATP2B1
hsa04024	35	P-hsa04024-2	cAMP signaling pathway: CACNA1C
hsa04024	35	P-hsa04024-60	cAMP signaling pathway: PDE3A
hsa04024	35	P-hsa04024-78	cAMP signaling pathway: LIPE
hsa04024	35	P-hsa04024-7	cAMP signaling pathway: TNNI3
hsa04024	35	P-hsa04024-9 95	cAMP signaling pathway: ATP1B4 FXYD1
hsa04024	35	P-hsa04024-21	cAMP signaling pathway: AKT3
hsa04024	35	P-hsa04024-77	cAMP signaling pathway: RHOA*
hsa04024	35	P-hsa04024-31	cAMP signaling pathway: Diacylglycerol
hsa04024	35	P-hsa04024-32	cAMP signaling pathway: D-myo-Inositol 1,4,5-trisphosphate
hsa04024	35	P-hsa04024-123	cAMP signaling pathway: PAK1
hsa04024	35	P-hsa04024-59	cAMP signaling pathway: AFDN
hsa04024	35	P-hsa04024-76	cAMP signaling pathway: Phosphatidate
hsa04024	35	P-hsa04024-43	cAMP signaling pathway: MAPK8
hsa04024	35	P-hsa04024-101	cAMP signaling pathway: HCN4
hsa04062	13	P-hsa04062-43	Chemokine signaling pathway: STAT1
hsa04062	13	P-hsa04062-25	Chemokine signaling pathway: ROCK1
hsa04062	13	P-hsa04062-42	Chemokine signaling pathway: PAK1
hsa04062	13	P-hsa04062-33	Chemokine signaling pathway: WAS
hsa04062	13	P-hsa04062-35 36 37	Chemokine signaling pathway: PARD3 PRKCZ TIAM1
hsa04062	13	P-hsa04062-53	Chemokine signaling pathway: NFKB1
hsa04062	13	P-hsa04062-60	Chemokine signaling pathway: GSK3A
hsa04062	13	P-hsa04062-59	Chemokine signaling pathway: FOXO3
hsa04062	13	P-hsa04062-44	Chemokine signaling pathway: MAPK1
hsa04062	13	P-hsa04062-8 41	Chemokine signaling pathway: PXN PTK2B
hsa04062	13	P-hsa04062-22 41	Chemokine signaling pathway: CRK PTK2B
hsa04062	13	P-hsa04062-38	Chemokine signaling pathway: NCF1
hsa04062	13	P-hsa04062-40	Chemokine signaling pathway: PRKACA
hsa04064	31	P-hsa04064-113	NF-kappa B signaling pathway: CFLAR
hsa04064	31	P-hsa04064-4	NF-kappa B signaling pathway: BIRC2
hsa04064	31	P-hsa04064-115	NF-kappa B signaling pathway: XIAP
hsa04064	31	P-hsa04064-2	NF-kappa B signaling pathway: BCL2L1
hsa04064	31	P-hsa04064-3	NF-kappa B signaling pathway: BCL2
hsa04064	31	P-hsa04064-116	NF-kappa B signaling pathway: GADD45B
hsa04064	31	P-hsa04064-52	NF-kappa B signaling pathway: TRAF1
hsa04064	31	P-hsa04064-114	NF-kappa B signaling pathway: BCL2A1*
hsa04064	31	P-hsa04064-142	NF-kappa B signaling pathway: NFKB2*
hsa04064	31	P-hsa04064-53	NF-kappa B signaling pathway: CXCL8
hsa04064	31	P-hsa04064-128	NF-kappa B signaling pathway: IL1B*
hsa04064	31	P-hsa04064-130	NF-kappa B signaling pathway: TNF*
hsa04064	31	P-hsa04064-51	NF-kappa B signaling pathway: TNFAIP3
hsa04064	31	P-hsa04064-50	NF-kappa B signaling pathway: NFKBIA*
hsa04064	31	P-hsa04064-129	NF-kappa B signaling pathway: PTGS2
hsa04064	31	P-hsa04064-131	NF-kappa B signaling pathway: CCL4L1
hsa04064	31	P-hsa04064-133	NF-kappa B signaling pathway: CXCL2
hsa04064	31	P-hsa04064-132	NF-kappa B signaling pathway: VCAM1
hsa04064	31	P-hsa04064-25	NF-kappa B signaling pathway: NFKB2
hsa04064	31	P-hsa04064-36	NF-kappa B signaling pathway: PLCG1
hsa04064	31	P-hsa04064-93	NF-kappa B signaling pathway: PLAU
hsa04064	31	P-hsa04064-94	NF-kappa B signaling pathway: BCL2L1*
hsa04064	31	P-hsa04064-95	NF-kappa B signaling pathway: BCL2L1**
hsa04064	31	P-hsa04064-96	NF-kappa B signaling pathway: BCL2A1
hsa04064	31	P-hsa04064-54	NF-kappa B signaling pathway: CCL13
hsa04064	31	P-hsa04064-135	NF-kappa B signaling pathway: CCL19
hsa04064	31	P-hsa04064-134	NF-kappa B signaling pathway: CCL21
hsa04064	31	P-hsa04064-55	NF-kappa B signaling pathway: CXCL12
hsa04064	31	P-hsa04064-136	NF-kappa B signaling pathway: TNFSF13B*
hsa04064	31	P-hsa04064-137	NF-kappa B signaling pathway: ICAM1
hsa04064	31	P-hsa04064-97	NF-kappa B signaling pathway: PLCG2
hsa04066	31	P-hsa04066-63	HIF-1 signaling pathway: TIMP1*
hsa04066	31	P-hsa04066-64	HIF-1 signaling pathway: LTBR
hsa04066	31	P-hsa04066-49	HIF-1 signaling pathway: EPO
hsa04066	31	P-hsa04066-50	HIF-1 signaling pathway: TF
hsa04066	31	P-hsa04066-51	HIF-1 signaling pathway: TFRC
hsa04066	31	P-hsa04066-5	HIF-1 signaling pathway: VEGFA
hsa04066	31	P-hsa04066-52	HIF-1 signaling pathway: FLT1
hsa04066	31	P-hsa04066-53	HIF-1 signaling pathway: EGF*
hsa04066	31	P-hsa04066-54	HIF-1 signaling pathway: SERPINE1
hsa04066	31	P-hsa04066-55	HIF-1 signaling pathway: ANGPT1
hsa04066	31	P-hsa04066-56	HIF-1 signaling pathway: TEK
hsa04066	31	P-hsa04066-57	HIF-1 signaling pathway: TIMP1
hsa04066	31	P-hsa04066-58	HIF-1 signaling pathway: EDN1
hsa04066	31	P-hsa04066-59	HIF-1 signaling pathway: NOS2
hsa04066	31	P-hsa04066-60	HIF-1 signaling pathway: NOS3
hsa04066	31	P-hsa04066-61	HIF-1 signaling pathway: HMOX1
hsa04066	31	P-hsa04066-62	HIF-1 signaling pathway: NPPA
hsa04066	31	P-hsa04066-11	HIF-1 signaling pathway: SLC2A1
hsa04066	31	P-hsa04066-30	HIF-1 signaling pathway: PDK1
hsa04066	31	P-hsa04066-42	HIF-1 signaling pathway: HK1
hsa04066	31	P-hsa04066-43	HIF-1 signaling pathway: PFKL
hsa04066	31	P-hsa04066-44	HIF-1 signaling pathway: GAPDH
hsa04066	31	P-hsa04066-45	HIF-1 signaling pathway: ALDOA
hsa04066	31	P-hsa04066-47	HIF-1 signaling pathway: PGK1
hsa04066	31	P-hsa04066-48	HIF-1 signaling pathway: PFKFB3
hsa04066	31	P-hsa04066-29	HIF-1 signaling pathway: LDHA
hsa04066	31	P-hsa04066-88	HIF-1 signaling pathway: BCL2
hsa04066	31	P-hsa04066-89	HIF-1 signaling pathway: CDKN1A
hsa04066	31	P-hsa04066-46	HIF-1 signaling pathway: ENO1
hsa04066	31	P-hsa04066-26	HIF-1 signaling pathway: D-myo-Inositol 1,4,5-trisphosphate
hsa04066	31	P-hsa04066-37	HIF-1 signaling pathway: PDHA1
hsa04068	30	P-hsa04068-39	FoxO signaling pathway: CCNB3
hsa04068	30	P-hsa04068-40	FoxO signaling pathway: CCND1
hsa04068	30	P-hsa04068-96	FoxO signaling pathway: CCNG2
hsa04068	30	P-hsa04068-41	FoxO signaling pathway: CDKN2B
hsa04068	30	P-hsa04068-42	FoxO signaling pathway: CDKN2D
hsa04068	30	P-hsa04068-43	FoxO signaling pathway: CDKN1A
hsa04068	30	P-hsa04068-44	FoxO signaling pathway: CDKN1B
hsa04068	30	P-hsa04068-45	FoxO signaling pathway: RBL2
hsa04068	30	P-hsa04068-46	FoxO signaling pathway: PLK4
hsa04068	30	P-hsa04068-47	FoxO signaling pathway: GADD45G
hsa04068	30	P-hsa04068-48	FoxO signaling pathway: FASLG
hsa04068	30	P-hsa04068-49	FoxO signaling pathway: BCL2L11
hsa04068	30	P-hsa04068-50	FoxO signaling pathway: TNFSF10
hsa04068	30	P-hsa04068-51	FoxO signaling pathway: BCL6
hsa04068	30	P-hsa04068-66	FoxO signaling pathway: BNIP3
hsa04068	30	P-hsa04068-68	FoxO signaling pathway: ATG12
hsa04068	30	P-hsa04068-67	FoxO signaling pathway: GABARAP
hsa04068	30	P-hsa04068-52	FoxO signaling pathway: CAT
hsa04068	30	P-hsa04068-53	FoxO signaling pathway: SOD2
hsa04068	30	P-hsa04068-54	FoxO signaling pathway: GADD45G*
hsa04068	30	P-hsa04068-55	FoxO signaling pathway: ATM
hsa04068	30	P-hsa04068-13	FoxO signaling pathway: PCK1
hsa04068	30	P-hsa04068-14	FoxO signaling pathway: G6PC
hsa04068	30	P-hsa04068-56	FoxO signaling pathway: BCL6*
hsa04068	30	P-hsa04068-57	FoxO signaling pathway: IL7R
hsa04068	30	P-hsa04068-58	FoxO signaling pathway: KLF2
hsa04068	30	P-hsa04068-59	FoxO signaling pathway: S1PR1
hsa04068	30	P-hsa04068-60	FoxO signaling pathway: RAG1
hsa04068	30	P-hsa04068-88	FoxO signaling pathway: FBXO32
hsa04068	30	P-hsa04068-72	FoxO signaling pathway: SMAD2
hsa04071	11	P-hsa04071-89	Sphingolipid signaling pathway: Nitric oxide
hsa04071	11	P-hsa04071-69	Sphingolipid signaling pathway: RAC1
hsa04071	11	P-hsa04071-1	Sphingolipid signaling pathway: MAPK1
hsa04071	11	P-hsa04071-11	Sphingolipid signaling pathway: PRKCA
hsa04071	11	P-hsa04071-66	Sphingolipid signaling pathway: D-myo-Inositol 1,4,5-trisphosphate
hsa04071	11	P-hsa04071-24	Sphingolipid signaling pathway: PTEN
hsa04071	11	P-hsa04071-68	Sphingolipid signaling pathway: NFKB1
hsa04071	11	P-hsa04071-65	Sphingolipid signaling pathway: BAX*
hsa04071	11	P-hsa04071-57	Sphingolipid signaling pathway: BAX
hsa04071	11	P-hsa04071-59 60	Sphingolipid signaling pathway: TP53 BCL2
hsa04071	11	P-hsa04071-48	Sphingolipid signaling pathway: SMPD1
hsa04072	4	P-hsa04072-3	Phospholipase D signaling pathway: MAPK1
hsa04072	4	P-hsa04072-57	Phospholipase D signaling pathway: Sphingosine 1-phosphate
hsa04072	4	P-hsa04072-36	Phospholipase D signaling pathway: MTOR
hsa04072	4	P-hsa04072-27	Phospholipase D signaling pathway: D-myo-Inositol 1,4,5-trisphosphate
hsa04110	7	P-hsa04110-46	Cell cycle: RB1
hsa04110	7	P-hsa04110-96 97	Cell cycle: TFDP1 E2F4
hsa04110	7	P-hsa04110-60 10 11 12 13 14 9	Cell cycle: CDC6 ORC3 ORC5 ORC4 ORC2 ORC1 ORC6
hsa04110	7	P-hsa04110-48	Cell cycle: RB1*
hsa04110	7	P-hsa04110-43 83 84 85	Cell cycle: SMC1B SMC3 STAG1 RAD21
hsa04110	7	P-hsa04110-59 15 16 17 18 19 20	Cell cycle: CDC45 MCM7 MCM6 MCM5 MCM4 MCM3 MCM2
hsa04110	7	P-hsa04110-10 11 12 13 14 9 15 16 17 18 19 20	Cell cycle: ORC3 ORC5 ORC4 ORC2 ORC1 ORC6 MCM7 MCM6 MCM5 MCM4 MCM3 MCM2
hsa04114	3	P-hsa04114-59	Oocyte meiosis: REC8*
hsa04114	3	P-hsa04114-56	Oocyte meiosis: REC8
hsa04114	3	P-hsa04114-80	Oocyte meiosis: CDC25C*
hsa04115	35	P-hsa04115-43 57	p53 signaling pathway: CDK1 CCNB3
hsa04115	35	P-hsa04115-29	p53 signaling pathway: IGF1
hsa04115	35	P-hsa04115-52 53	p53 signaling pathway: CDK4 CCND1
hsa04115	35	P-hsa04115-11 12	p53 signaling pathway: CDK2 CCNE1
hsa04115	35	P-hsa04115-58	p53 signaling pathway: CASP3
hsa04115	35	P-hsa04115-9	p53 signaling pathway: RPRM
hsa04115	35	P-hsa04115-38	p53 signaling pathway: GTSE1
hsa04115	35	P-hsa04115-37	p53 signaling pathway: FAS
hsa04115	35	P-hsa04115-40	p53 signaling pathway: PIDD1
hsa04115	35	P-hsa04115-39	p53 signaling pathway: BAX
hsa04115	35	P-hsa04115-64	p53 signaling pathway: PMAIP1
hsa04115	35	P-hsa04115-36	p53 signaling pathway: EI24
hsa04115	35	P-hsa04115-55	p53 signaling pathway: SHISA5
hsa04115	35	P-hsa04115-54	p53 signaling pathway: PERP
hsa04115	35	P-hsa04115-34	p53 signaling pathway: ZMAT3
hsa04115	35	P-hsa04115-30	p53 signaling pathway: SERPINE1
hsa04115	35	P-hsa04115-31	p53 signaling pathway: ADGRB1
hsa04115	35	P-hsa04115-25	p53 signaling pathway: CD82
hsa04115	35	P-hsa04115-27	p53 signaling pathway: THBS1
hsa04115	35	P-hsa04115-24	p53 signaling pathway: SERPINB5
hsa04115	35	P-hsa04115-21	p53 signaling pathway: DDB2
hsa04115	35	P-hsa04115-20	p53 signaling pathway: RRM2B
hsa04115	35	P-hsa04115-3	p53 signaling pathway: GADD45G
hsa04115	35	P-hsa04115-56	p53 signaling pathway: SESN3
hsa04115	35	P-hsa04115-23	p53 signaling pathway: PTEN
hsa04115	35	P-hsa04115-15	p53 signaling pathway: TSC2
hsa04115	35	P-hsa04115-2	p53 signaling pathway: IGFBP3
hsa04115	35	P-hsa04115-22	p53 signaling pathway: STEAP3
hsa04115	35	P-hsa04115-49	p53 signaling pathway: MDM2*
hsa04115	35	P-hsa04115-19	p53 signaling pathway: RFWD2
hsa04115	35	P-hsa04115-50	p53 signaling pathway: RCHY1
hsa04115	35	P-hsa04115-18	p53 signaling pathway: CCNG1
hsa04115	35	P-hsa04115-1	p53 signaling pathway: SIAH1
hsa04115	35	P-hsa04115-16	p53 signaling pathway: PPM1D
hsa04115	35	P-hsa04115-17	p53 signaling pathway: TP73
hsa04150	3	P-hsa04150-31	mTOR signaling pathway: EIF4E
hsa04150	3	P-hsa04150-56	mTOR signaling pathway: EIF4B
hsa04150	3	P-hsa04150-33	mTOR signaling pathway: RPS6
hsa04151	28	P-hsa04151-34	PI3K-Akt signaling pathway: GYS1
hsa04151	28	P-hsa04151-24	PI3K-Akt signaling pathway: MYC
hsa04151	28	P-hsa04151-35	PI3K-Akt signaling pathway: CCND1
hsa04151	28	P-hsa04151-25	PI3K-Akt signaling pathway: CDKN1B
hsa04151	28	P-hsa04151-26	PI3K-Akt signaling pathway: RBL2
hsa04151	28	P-hsa04151-36	PI3K-Akt signaling pathway: PCK1
