Gene	DK18007.28.09.sorted.bam	DK18007.28.10.sorted.bam	DK18007.28.11.sorted.bam	DK18007.28.12.sorted.bam	DK18007.28.13.sorted.bam	DK18007.28.14.sorted.bam
CDK11A	96	82	110	114	69	126
RP1-283E3.8	84	73	94	104	68	143
RP1-283E3.4	419	355	379	455	321	423
SLC35E2	314	272	309	337	251	278
NADK	1002	1141	872	1185	887	1251
GNB1	4533	5895	4542	4613	4526	3461
RP1-140A9.1	4	3	0	2	2	2
CALML6	2	7	7	2	5	5
TMEM52	24	43	58	83	14	75
C1orf222	6	2	8	77	1	11
RP11-547D24.1	0	1	0	3	0	0
GABRD	27	7	6	27	7	35
RP11-547D24.3	0	0	0	0	0	0
PRKCZ	69	51	104	62	62	91
RP5-892K4.1	0	0	1	0	1	0
RP11-181G12.2	52	51	67	52	60	66
C1orf86	314	367	312	365	417	319
AL590822.2	0	0	0	0	0	0
AL590822.1	0	1	2	0	1	1
RP11-181G12.5	0	0	0	0	0	0
RP11-181G12.4	0	0	0	0	0	0
SKI	1623	1698	1823	1454	1298	1115
MORN1	85	100	83	97	70	111
RP4-713A8.1	1	1	0	3	4	5
AL589739.1	6	0	2	1	3	4
RP4-740C4.6	52	57	63	67	60	52
RP4-740C4.5	0	0	0	0	0	0
RP4-740C4.7	6	8	11	8	9	14
RP4-740C4.9	5	3	1	0	6	3
RP4-740C4.8	2	3	3	4	1	1
AL513477.1	0	0	0	0	0	0
RER1	3053	2647	1872	2713	2276	2085
PEX10	190	274	193	212	237	190
PLCH2	81	30	54	88	139	50
RP3-395M20.2	1	1	1	1	0	1
RP3-395M20.3	0	2	2	0	0	2
PANK4	585	642	452	663	584	655
HES5	274	552	4538	1160	519	3229
RP3-395M20.12	26	43	226	73	19	133
RP3-395M20.8	3	2	0	10	2	12
TNFRSF14	13	11	14	25	16	25
RP3-395M20.7	2	0	1	0	0	2
RP3-395M20.9	2	0	1	0	1	0
FAM213B	637	627	786	607	476	658
MMEL1	7	2	5	1	1	16
RP13-436F16.1	0	0	0	0	0	0
TTC34	15	13	21	11	9	12
RP11-740P5.2	0	0	0	0	0	0
RP11-740P5.3	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
LINC00982	0	0	11	4	0	1
AL008733.1	0	0	0	0	0	0
PRDM16	3	5	101	32	21	12
RP1-163G9.2	0	0	0	0	0	0
RP11-22L13.1	6	0	0	2	0	0
ARHGEF16	80	105	96	92	82	68
RP11-168F9.2	3	1	4	1	0	1
MEGF6	1371	1133	908	1637	949	1454
MIR551A	0	0	0	0	0	0
RP11-46F15.2	4	1	4	5	3	3
TPRG1L	357	426	216	259	274	179
WRAP73	641	474	347	748	511	787
TP73	122	33	45	97	27	76
RP5-1092A11.5	0	0	0	1	0	0
RP5-1092A11.2	0	0	0	1	0	0
TP73-AS1	1148	1149	907	1506	1128	1336
CCDC27	2	3	2	0	5	3
SMIM1	1	6	0	6	12	4
LRRC47	1150	1164	879	835	998	642
RN7SL574P	1	1	0	3	1	1
RP1-286D6.5	38	26	15	36	40	51
CEP104	519	552	407	394	407	451
DFFB	94	114	102	91	120	117
AL691523.1	0	0	0	0	0	0
C1orf174	706	731	439	640	560	671
LINC01134	2	3	4	8	5	7
RP13-614K11.1	0	0	0	0	0	0
RP13-614K11.2	0	0	0	0	0	0
RP11-374C13.1	1	0	0	0	0	1
RP5-1166F10.1	0	0	0	0	0	0
RP1-37J18.1	0	0	0	0	0	0
RP1-37J18.2	0	0	0	0	0	0
AJAP1	210	104	18	31	74	14
RP11-542C10.1	0	0	0	0	0	1
RP1-58B11.1	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0
RP11-154H17.1	0	0	0	0	0	0
AL356693.1	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0
NPHP4	698	639	465	680	649	668
AL356261.1	0	0	0	0	0	0
KCNAB2	83	72	120	75	56	122
AL035406.1	0	0	0	0	0	0
CHD5	15	9	13	26	18	38
RPL22	3981	4384	3780	3059	3631	2713
RP1-120G22.11	1	0	1	2	1	0
RNF207	27	25	32	66	53	44
ICMT	3967	3206	2753	3688	2788	2438
LINC00337	0	2	2	0	5	1
HES3	42	47	104	84	283	78
GPR153	259	367	754	678	646	458
ACOT7	742	1079	836	896	674	665
RP1-202O8.3	0	0	0	0	0	0
HES2	0	1	9	6	0	4
ESPN	3	6	3	12	2	8
MIR4252	0	0	0	0	0	0
RP1-202O8.2	0	0	0	0	0	0
TNFRSF25	24	35	94	69	40	53
PLEKHG5	71	128	251	198	95	210
NOL9	621	580	414	587	554	474
RNU6-731P	1	0	0	0	0	0
RP11-58A11.2	2	3	2	4	2	6
TAS1R1	1	0	1	1	0	0
ZBTB48	443	386	334	416	423	488
KLHL21	556	746	511	587	510	475
PHF13	1203	1300	810	1050	863	752
THAP3	190	206	194	201	190	220
DNAJC11	760	805	528	723	609	795
RP11-242F24.1	0	0	0	0	0	0
snoU13	135	127	132	165	134	187
RP11-312B8.1	5	10	8	5	2	10
CAMTA1	435	586	506	362	489	365
RP11-312B8.2	0	0	0	1	0	1
RP11-334N17.1	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0
CAMTA1-IT1	0	1	0	0	1	0
RP3-453P22.2	0	0	0	0	0	0
RP4-549F15.1	0	0	0	0	0	0
RP11-338N10.1	4	11	2	6	2	11
RP11-338N10.2	5	2	4	5	2	5
RP11-338N10.3	5	10	5	1	4	6
VAMP3	671	878	527	670	662	601
RP3-467L1.6	8	13	12	24	25	18
PER3	117	116	57	99	52	80
RP3-467L1.4	0	0	0	2	0	2
UTS2	1	0	4	0	0	0
TNFRSF9	0	2	9	5	1	2
RP5-892F13.2	0	0	0	0	0	0
PARK7	1320	1761	1085	1129	1306	1033
Y_RNA	318	283	247	342	332	383
ERRFI1	355	496	292	328	301	294
RP11-431K24.1	1	3	0	0	1	0
CTA-215D11.4	0	1	0	1	0	1
RP11-431K24.2	0	0	0	0	0	0
RNU1-7P	0	0	0	0	0	0
RP11-431K24.3	0	0	0	0	0	0
RP11-431K24.4	0	0	0	0	0	0
RN7SL729P	0	0	0	0	0	0
RNU6-991P	0	0	0	0	0	0
SLC45A1	85	60	69	58	84	41
RERE	3617	3300	1812	2650	2992	1820
RP5-1115A15.1	0	2	1	1	1	1
SNORA77	1	2	1	1	0	0
RP5-1115A15.2	0	0	0	1	0	1
RPL7P11	2	2	0	4	0	1
RPL7P7	1	1	1	1	2	1
RP4-633I8.3	0	1	0	0	2	4
RP4-633I8.4	0	2	2	1	2	1
RP11-185B14.1	0	0	0	0	0	0
ENO1	17741	24263	12565	17361	12912	15561
ENO1-IT1	3	3	2	3	3	7
ENO1-AS1	0	2	1	2	1	5
RNU6-304P	0	0	0	0	0	0
HMGN2P17	12	9	7	13	24	9
RP3-477M7.5	9	11	8	3	6	4
RP3-477M7.6	0	0	0	1	0	0
CA6	0	0	0	0	0	1
RN7SL451P	0	0	0	0	0	0
SLC2A7	0	0	0	0	0	0
SLC2A5	3	0	0	0	0	2
SCARNA16	0	0	0	0	0	0
GPR157	44	63	78	76	31	83
MIR34A	3	5	3	3	0	3
RP3-510D11.1	0	0	0	2	0	3
RP3-510D11.2	5	24	31	20	7	25
H6PD	1726	1309	1307	1522	973	1252
Z98044.1	0	0	0	0	0	0
SPSB1	16	8	30	18	19	5
RNA5SP40	0	0	0	0	0	0
RP13-392I16.1	0	0	0	0	0	0
SLC25A33	194	310	321	270	270	215
RP13-15M17.1	5	2	5	4	9	10
TMEM201	1595	1432	1155	1577	1295	1005
PIK3CD	90	33	36	65	58	48
C1orf200	0	0	0	0	0	0
RP11-558F24.2	0	0	0	0	0	0
RP11-558F24.4	17	2	11	13	7	4
CLSTN1	9670	8861	8191	9626	8287	7363
RP11-558F24.6	17	41	30	38	44	18
CTNNBIP1	507	478	597	407	479	300
RP11-84A14.5	0	0	0	0	0	0
LZIC	302	339	257	271	288	222
RP11-84A14.4	4	4	3	2	3	2
NMNAT1	184	181	102	152	98	149
RN7SKP269	1	0	2	1	0	4
MIR5697	0	0	1	0	0	0
RP11-807G9.2	0	0	0	0	0	0
RBP7	0	1	0	1	1	0
AL590639.1	0	0	0	0	0	0
UBE4B	2365	2178	1508	1669	1571	1356
RP11-496H15.2	1	1	0	0	0	0
PGAM1P11	0	1	0	0	0	1
RNU6-828P	0	0	0	0	0	2
KIF1B	11510	10643	9473	8289	6395	7808
MIR1273D	0	0	2	0	0	0
RNU6-37P	5	4	3	3	6	1
RN7SL731P	0	0	0	0	0	0
RN7SL721P	3	6	17	5	11	13
PGD	5238	6408	3904	4292	4528	3293
RP4-736L20.3	2	2	1	1	1	0
APITD1	84	112	69	73	78	60
APITD1-CORT	0	0	0	0	0	0
CORT	13	9	6	13	9	11
DFFA	1126	1554	1156	1370	1115	1198
RP5-1113E3.3	0	0	0	0	0	0
PEX14	426	514	318	468	354	376
RN7SL614P	1	0	1	2	0	1
CASZ1	14	97	16	38	67	6
RP4-734G22.3	1	11	1	12	13	3
HSPE1P24	0	0	0	0	0	0
C1orf127	0	0	0	0	0	0
CFL1P6	0	0	1	0	0	0
AL713997.1	0	0	0	0	0	0
TARDBP	4925	5033	3676	4019	3695	3869
MASP2	125	55	94	90	107	127
RP4-635E18.8	122	95	84	96	124	97
SRM	493	791	671	810	705	530
EXOSC10	1916	1807	1088	1526	1334	1671
RP4-635E18.7	7	7	6	8	7	8
RP4-635E18.6	0	3	0	1	4	3
MTOR	2463	2702	1926	2257	1659	1983
MTOR-AS1	0	0	1	0	1	0
RNU6-537P	0	0	0	0	0	0
ANGPTL7	1	2	0	1	1	0
RNU6-291P	0	0	0	0	1	0
RPL39P6	0	0	0	0	0	1
UBIAD1	917	799	521	780	524	528
UBE2V2P3	25	39	25	25	25	12
RP11-149P14.1	0	0	0	0	0	0
PTCHD2	716	784	359	648	442	374
RP1-69M21.2	0	0	0	0	0	0
FBXO2	2	2	6	2	3	8
FBXO44	163	153	199	224	128	393
FBXO6	12	31	20	17	14	22
MAD2L2	643	946	662	805	766	667
DRAXIN	1203	3418	8071	3662	1828	4770
AGTRAP	1013	957	624	880	513	779
C1orf167	9	3	6	3	11	2
RP11-56N19.5	0	0	0	0	0	1
MTHFR	540	450	427	366	416	425
CLCN6	3071	2371	1951	2609	1740	2374
NPPA-AS1	15	1	22	9	21	27
NPPA	6	1	6	4	6	4
NPPB	1	0	0	1	0	0
RP5-934G17.6	223	263	244	265	254	218
RNU5E-1	0	2	1	0	0	0
RNU5E-4P	0	4	0	1	0	0
KIAA2013	2016	2029	1701	2323	1676	1439
PLOD1	2805	2884	1350	3253	1844	2006
MFN2	2140	2333	1566	1850	1584	1605
RP5-1077B9.5	7	5	3	3	2	2
MIIP	568	664	570	744	570	685
RN7SL649P	0	0	0	1	0	1
TNFRSF8	3	3	2	11	5	3
RNU6-777P	0	0	0	0	0	0
RP11-426M1.2	0	0	1	0	0	0
TNFRSF1B	48	456	1701	266	452	1242
MIR4632	0	0	0	0	0	0
RP5-1118D24.2	0	0	0	0	0	0
SNORA70	30	31	7	15	17	25
VPS13D	846	790	786	772	590	736
SNORA59A	0	1	1	2	4	1
RP5-888M10.2	0	0	0	0	0	0
DHRS3	18	17	214	26	12	40
RNU6ATAC18P	0	0	0	0	0	0
RP11-474O21.5	0	0	0	0	0	1
AADACL4	0	0	0	0	0	0
RP11-474O21.2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
C1orf158	0	0	0	0	0	1
PRAMEF12	0	0	1	0	0	0
PRAMEF1	0	0	5	0	0	0
RP5-845O24.8	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
RP5-845O24.3	0	0	0	0	0	0
HNRNPCL1	120	156	78	89	113	95
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0
PRAMEF7	0	0	1	0	0	0
RNU6-1072P	0	0	0	0	0	0
RP11-450I1.2	0	0	0	0	0	0
PRAMEF6	0	0	1	0	0	0
RP11-450I1.4	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0
WI2-3308P17.2	0	0	0	0	0	0
PRAMEF23	0	0	0	0	0	0
RP13-221M14.6	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0
RP13-221M14.2	0	0	0	0	0	0
RP13-221M14.3	0	0	1	0	0	0
RP13-221M14.4	0	0	0	0	0	0
HNRNPCP5	6	12	3	5	9	1
WI2-2994D6.1	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0
PRAMEF3	0	0	0	0	0	0
RP11-248D7.2	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
RP11-219C24.8	0	0	0	0	0	0
RNU6-771P	0	0	0	0	0	0
PRAMEF8	0	0	1	0	0	0
RP11-219C24.6	0	0	0	0	0	0
PRAMEF9	0	0	2	0	0	0
RP11-219C24.10	0	0	0	0	0	0
PRAMEF13	0	0	1	0	0	0
PRAMEF18	0	0	0	0	0	0
PRAMEF16	0	0	0	0	0	0
PRAMEF21	0	0	0	0	0	0
XX-FW84067D5.1	0	0	0	0	0	0
XX-FW84067D5.2	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
PRAMEF14	0	0	1	0	0	0
PRAMEF19	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0
RP4-597A16.2	0	0	0	0	0	0
RP4-597A16.3	8	8	9	15	19	9
PDPN	4905	5303	4749	4423	2247	6360
RNA5SP41	0	0	0	0	0	0
AL359771.1	0	0	0	0	0	0
CTA-520D8.2	1	1	3	0	0	2
SCARNA11	0	2	1	0	1	0
PRDM2	1798	1721	1334	1336	1198	1295
RNU6-1265P	0	0	0	0	0	1
RP11-344F13.1	0	0	0	0	0	0
RP4-704D23.1	0	0	0	0	0	0
KAZN	177	379	188	213	243	275
TBCAP2	18	28	15	25	16	20
TMEM51-AS1	1	0	0	4	0	1
TMEM51	222	247	478	240	115	152
C1orf195	0	0	0	0	0	0
RP1-21O18.3	2	10	6	7	7	10
FHAD1	38	18	86	22	11	42
RP3-467K16.2	0	0	0	0	0	0
RP3-467K16.7	0	2	1	1	0	1
RP3-467K16.4	3	4	3	1	1	1
EFHD2	271	502	935	373	397	459
CTRC	0	1	1	1	1	3
CELA2A	0	1	2	1	1	4
CELA2B	3	2	3	1	2	3
CASP9	290	267	190	185	190	185
DNAJC16	1782	1414	1003	1387	839	1189
SCARNA21	0	0	2	0	2	0
RP4-680D5.8	1	0	0	0	0	0
AGMAT	27	17	4	20	14	9
RP4-680D5.2	5	4	2	2	2	6
CHCHD2P6	387	269	354	156	547	209
RNU7-179P	0	0	0	0	0	0
RP4-680D5.4	0	0	0	0	0	0
DDI2	1278	1405	943	1172	858	995
RSC1A1	0	0	0	0	0	0
RP4-680D5.9	0	0	0	0	0	0
PLEKHM2	922	1112	912	1095	893	863
AL121992.1	0	0	0	0	0	0
RP11-288I21.1	7	4	0	10	6	21
SLC25A34	29	41	26	33	62	34
RP11-169K16.4	0	0	0	0	0	0
TMEM82	0	0	0	0	0	0
FBLIM1	116	135	43	154	57	77
RP11-169K16.6	94	120	107	104	164	96
RP11-169K16.7	683	1005	693	667	801	693
RP11-169K16.8	1793	2460	2535	2149	2121	1640
RP11-169K16.9	89	154	129	148	106	113
SPEN	4687	3882	3430	4183	2961	3535
RP1-134O19.3	0	0	0	0	0	0
ZBTB17	560	540	506	582	599	535
RP11-5P18.1	4	5	2	1	1	0
RP11-5P18.3	0	0	0	0	0	0
TBC1D3P6	0	0	0	0	0	1
C1orf64	0	2	0	0	0	0
RP11-5P18.5	0	0	0	0	0	0
HSPB7	2	0	0	0	0	0
CLCNKA	3	1	1	4	2	2
RP11-5P18.10	4	1	4	0	3	0
CLCNKB	4	3	7	6	1	8
FAM131C	3	3	10	1	4	2
EPHA2	5139	6320	3159	7948	2771	4767
RP11-276H7.2	7	2	1	2	3	7
RP11-276H7.3	0	1	0	0	0	0
ARHGEF19-AS1	0	0	0	0	0	0
ARHGEF19	81	125	70	112	86	70
ANO7P1	2	0	3	0	2	0
C1orf134	25	13	6	8	9	4
RSG1	32	60	23	35	24	42
MT1XP1	26	30	17	13	12	18
FBXO42	617	693	557	495	481	455
SZRD1	1300	1479	1271	1175	1257	977
RP11-430L17.1	97	134	89	94	102	101
SPATA21	1	2	1	1	0	6
NECAP2	496	593	388	450	484	462
RP4-798A10.2	54	52	57	85	47	104
CROCCP3	189	186	158	240	153	277
RNU1-1	0	1	0	2	1	2
RP4-798A10.7	35	28	17	17	12	28
RP4-798A10.4	3	1	1	1	1	0
U1	6	4	1	4	41	6
FAM231B	0	0	0	0	0	0
RP5-875O13.6	2	0	0	1	4	2
AL355149.1	0	0	0	0	0	0
NBPF1	2688	3275	2128	2376	2281	2671
RP5-1182A14.5	0	1	1	0	1	2
CROCCP2	498	750	655	900	895	715
MST1P2	36	29	39	47	48	73
RNU1-3	1	0	0	1	1	1
FAM231A	0	0	0	0	0	0
AL021920.1	0	0	0	0	0	0
EIF1AXP1	791	1478	872	477	612	750
ESPNP	14	13	14	8	27	20
FAM231C	0	1	0	0	0	1
CROCC	2885	2619	1516	2755	2384	1996
RNU1-4	1	0	0	1	1	2
CROCCP4	3	2	4	1	0	14
MST1L	10	19	30	25	24	94
RP11-108M9.1	0	0	0	0	1	1
RP11-108M9.2	1	1	0	0	2	1
MIR3675	0	0	0	0	0	0
RP11-108M9.4	1	0	0	1	2	0
RP11-108M9.5	0	0	0	0	0	0
RNU1-2	1	5	0	2	5	2
RP11-108M9.6	5	7	7	4	0	5
MFAP2	1404	1343	557	1278	1793	511
RP1-37C10.3	1	0	0	1	0	0
ATP13A2	1427	1238	868	1452	1356	825
SDHB	323	402	211	300	310	284
PADI2	4	4	27	4	12	10
RP11-380J14.1	1	0	0	0	0	1
PADI1	0	0	0	0	0	0
PADI3	0	0	0	2	0	0
MIR3972	0	0	0	0	0	0
PADI4	0	0	0	0	1	1
AC004824.2	0	0	0	1	0	0
PADI6	0	0	0	0	0	0
RP1-20B21.4	0	0	0	0	0	0
RCC2	3809	3861	2796	3272	3035	2585
AC004824.1	0	0	0	0	0	0
ARHGEF10L	534	473	487	373	361	414
RP11-473A10.2	0	0	0	0	0	0
ACTL8	6	7	2	1	1	1
RP11-174G17.2	0	0	0	0	0	0
IGSF21	2	1	0	0	1	1
RP11-174G17	0	0	0	0	0	0
RP11-422P22.1	0	0	0	0	0	0
KLHDC7A	1	4	2	3	0	0
RP1-8B22.1	20	25	17	24	51	5
RP1-8B22.2	0	0	0	0	0	0
PAX7	7	108	821	75	350	93
TAS1R2	0	0	0	0	0	0
RP13-279N23.2	0	0	0	0	0	0
ALDH4A1	222	358	290	251	142	218
MIR4695	0	0	0	0	0	0
MIR1290	0	0	0	0	0	0
IFFO2	69	110	193	111	67	111
RP5-1126H10.2	9	10	5	4	7	7
UBR4	6647	5830	3604	6023	3849	4803
AL137127.1	3	1	2	6	4	3
RP1-43E13.2	5	5	1	2	4	8
EMC1	4115	4226	2718	4598	2910	3155
MRTO4	910	1170	641	684	740	565
AKR7L	37	36	44	45	43	53
AKR7A3	25	32	20	22	30	26
RP4-657E11.10	39	30	26	39	26	37
AKR7A2	390	575	477	388	441	319
RNU6-1099P	4	4	3	2	2	0
PQLC2	632	631	417	583	483	421
RN7SL85P	0	0	1	2	0	0
CAPZB	1531	1882	1671	1279	1398	1111
RN7SL277P	0	0	0	0	1	1
RNU4-28P	0	0	0	0	0	0
RP5-1056L3.1	0	0	0	0	0	0
MINOS1-NBL1	1	0	0	0	0	0
MINOS1	128	102	118	105	97	64
RPS14P3	2426	3312	2678	2298	3125	2464
NBL1	4	5	10	4	18	10
HTR6	0	0	0	0	0	0
TMCO4	4	0	0	1	2	0
RNF186	0	0	0	0	0	0
RP11-91K11.2	0	0	0	0	0	0
OTUD3	903	825	943	1161	718	1401
PLA2G2E	0	0	1	0	0	0
RN7SL304P	0	0	0	0	0	0
PLA2G2A	0	0	0	0	0	0
PLA2G5	0	0	0	0	0	0
PLA2G2D	0	0	0	0	0	0
PLA2G2F	0	0	0	0	0	0
RP3-340N1.2	0	0	0	0	0	0
PLA2G2C	2	0	0	0	0	0
UBXN10-AS1	4	0	0	0	1	1
UBXN10	106	14	19	21	20	9
RP3-340N1.6	0	0	0	0	0	0
VWA5B1	55	9	0	23	16	10
RP4-745E8.2	0	0	0	0	0	0
LINC01141	0	0	0	0	0	0
RP4-749H3.2	0	0	0	0	0	0
CAMK2N1	330	214	489	213	125	261
MUL1	1543	1292	793	1120	1115	810
RPS4XP4	0	0	0	0	0	0
FAM43B	52	14	0	17	36	1
CDA	0	0	0	0	0	0
PINK1	83	70	70	49	86	49
PINK1-AS	213	231	159	171	147	165
AL391357.1	0	0	0	0	0	0
DDOST	6079	5912	3367	5821	4247	4253
KIF17	128	133	233	188	70	186
RP5-930J4.5	0	0	1	0	1	0
SH2D5	222	234	210	401	142	341
RP5-930J4.2	0	0	0	0	0	0
HP1BP3	4227	4002	3242	3818	3214	4256
RP5-930J4.4	0	0	0	0	0	0
EIF4G3	3060	3211	2203	2463	2018	1752
RNU7-200P	0	0	0	0	0	0
MIR1256	0	0	0	0	0	1
RPS15AP6	0	3	1	0	2	1
RP11-487E1.2	0	0	0	0	0	0
HSPE1P27	0	1	0	0	0	0
AL031005.1	4	4	10	13	6	5
ECE1	2432	3972	2114	4657	3319	2908
RP3-329E20.2	0	0	0	0	1	0
RP5-1071N3.1	2	7	1	3	2	8
PPP1R11P1	36	31	35	30	36	27
RP11-293F5.8	0	0	0	0	0	1
RP11-293F5.1	1	0	1	0	0	0
NBPF2P	14	22	1	26	16	22
HS6ST1P1	181	144	99	103	136	58
CROCCP5	0	0	0	1	0	1
NBPF3	121	246	148	159	142	221
PFN1P10	0	0	0	0	0	0
ALPL	2627	2234	2010	3974	1522	1963
RP11-63N8.3	0	0	0	0	0	0
AL359815.1	0	0	0	0	0	0
RAP1GAP	47	58	29	38	23	66
USP48	1185	1224	831	950	864	1025
