"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"malonylcarnitine","Malonylcarnitine","HMDB0002095","91825606","85470",NA,"6484","C[N+](C)(C)C[C@@H](CC([O-])=O)OC(=O)CC(O)=O","1"
"butyrylcarnitine/isobutyrylcarnitine","NA","NA","NA","NA","NA","NA","NA","0"
"valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine","NA","NA","NA","NA","NA","NA","NA","0"
"hexanoylcarnitine","Hexanoylcarnitine","HMDB0000756","3246938","84834",NA,"3548","CCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"heptanoylcarnitine","Heptanoylcarnitine","HMDB0013238","53481699","74303",NA,NA,"CCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"lauroylcarnitine","Dodecanoylcarnitine","HMDB0002250","168381","77086",NA,"6573","CCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"myristoylcarnitine","Myristoylcarnitine","HMDB0254979","6426854","73061",NA,NA,"CCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"palmitoylcarnitine","Palmitoylcarnitine","HMDB0000222","11953816","17490","C02990","5231","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"stearoylcarnitine","Stearoylcarnitine","HMDB0000848","52922056","84644",NA,"5811","CCCCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"oleylcarnitine","NA","NA","NA","NA","NA","NA","NA","0"
"arachidonyl_carnitine","Arachidonoylcarnitine","HMDB0006455","136212424",NA,NA,NA,"CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"sarcosine","Sarcosine","HMDB0000271","1088","15611","C00213","51","CNCC(O)=O","1"
"beta-alanine","beta-Alanine","HMDB0000056","239","16958","C00099","5119","NCCC(O)=O","1"
"anserine","Anserine","HMDB0000194","112072","18323","C01262","5209","CN1C=NC=C1C[C@H](NC(=O)CCN)C(O)=O","1"
"C14:0 LPC","LysoPC(14:0/0:0)","HMDB0010379","460604","64489","C04230",NA,"CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C","1"
"C16:1 LPC","NA","NA","NA","NA","NA","NA","NA","0"
"C16:0 LPC","LysoPC(16:0/0:0)","HMDB0010382","460602","72998","C04230",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C","1"
"C18:2 LPC","NA","NA","NA","NA","NA","NA","NA","0"
"C18:1 LPC","NA","NA","NA","NA","NA","NA","NA","0"
"C18:0 LPC","NA","NA","NA","NA","NA","NA","NA","0"
"C20:4 LPC","NA","NA","NA","NA","NA","NA","NA","0"
"C20:3 LPC","NA","NA","NA","NA","NA","NA","NA","0"
"C22:6 LPC","NA","NA","NA","NA","NA","NA","NA","0"
"C16:0 LPE","NA","NA","NA","NA","NA","NA","NA","0"
"C18:1 LPE","NA","NA","NA","NA","NA","NA","NA","0"
"C18:0 LPE","NA","NA","NA","NA","NA","NA","NA","0"
"C20:4 LPE","NA","NA","NA","NA","NA","NA","NA","0"
"C22:6 LPE","NA","NA","NA","NA","NA","NA","NA","0"
"C32:2 PC","NA","NA","NA","NA","NA","NA","NA","0"
"C32:1 PC","NA","NA","NA","NA","NA","NA","NA","0"
"C32:0 PC","NA","NA","NA","NA","NA","NA","NA","0"
"C34:4 PC","NA","NA","NA","NA","NA","NA","NA","0"
"C34:3 PC","NA","NA","NA","NA","NA","NA","NA","0"
"C34:2 PC","NA","NA","NA","NA","NA","NA","NA","0"
"C34:1 PC","NA","NA","NA","NA","NA","NA","NA","0"
"C36:4 PC-A","NA","NA","NA","NA","NA","NA","NA","0"
"C36:4 PC-B","NA","NA","NA","NA","NA","NA","NA","0"
"C36:3 PC","NA","NA","NA","NA","NA","NA","NA","0"
"C36:2 PC","NA","NA","NA","NA","NA","NA","NA","0"
"C36:1 PC","NA","NA","NA","NA","NA","NA","NA","0"
"C38:6 PC","NA","NA","NA","NA","NA","NA","NA","0"
"C38:5 PC","NA","NA","NA","NA","NA","NA","NA","0"
"C38:4 PC","NA","NA","NA","NA","NA","NA","NA","0"
"C38:2 PC","NA","NA","NA","NA","NA","NA","NA","0"
"C40:6 PC","NA","NA","NA","NA","NA","NA","NA","0"
"C14:0 SM","NA","NA","NA","NA","NA","NA","NA","0"
"C16:1 SM","NA","NA","NA","NA","NA","NA","NA","0"
"C16:0 SM","NA","NA","NA","NA","NA","NA","NA","0"
"C18:2 SM","NA","NA","NA","NA","NA","NA","NA","0"
"C18:1 SM","NA","NA","NA","NA","NA","NA","NA","0"
"C18:0 SM","NA","NA","NA","NA","NA","NA","NA","0"
"C22:1 SM","NA","NA","NA","NA","NA","NA","NA","0"
"C22:0 SM","NA","NA","NA","NA","NA","NA","NA","0"
"C24:1 SM","NA","NA","NA","NA","NA","NA","NA","0"
"C24:0 SM","NA","NA","NA","NA","NA","NA","NA","0"
"C34:2 DAG","NA","NA","NA","NA","NA","NA","NA","0"
"C34:1 DAG","NA","NA","NA","NA","NA","NA","NA","0"
"C36:2 DAG","NA","NA","NA","NA","NA","NA","NA","0"
"C36:1 DAG","NA","NA","NA","NA","NA","NA","NA","0"
"C14:0 CE","NA","NA","NA","NA","NA","NA","NA","0"
"C16:1 CE","NA","NA","NA","NA","NA","NA","NA","0"
"C16:0 CE","NA","NA","NA","NA","NA","NA","NA","0"
"C18:3 CE","NA","NA","NA","NA","NA","NA","NA","0"
"C18:2 CE","NA","NA","NA","NA","NA","NA","NA","0"
"C18:1 CE","NA","NA","NA","NA","NA","NA","NA","0"
"C18:0 CE","NA","NA","NA","NA","NA","NA","NA","0"
"C20:5 CE","NA","NA","NA","NA","NA","NA","NA","0"
"C20:4 CE","NA","NA","NA","NA","NA","NA","NA","0"
"C20:3 CE","NA","NA","NA","NA","NA","NA","NA","0"
"C22:6 CE","NA","NA","NA","NA","NA","NA","NA","0"
"C46:2 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C46:1 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C46:0 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C48:3 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C48:2 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C48:1 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C48:0 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C50:3 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C50:2 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C50:1 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C50:0 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C52:5 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C52:4 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C52:3 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C52:2 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C52:1 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C54:7 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C54:6 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C54:5 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C54:4 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C54:3 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C54:2 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C54:1 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C56:8 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C56:7 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C56:6 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C56:5 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C56:4 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C56:3 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C56:2 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C58:8 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C58:7 TAG","NA","NA","NA","NA","NA","NA","NA","0"
"C58:6 TAG","NA","NA","NA","NA","NA","NA","NA","0"
