"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"6-phosphogluconate","6-Phosphogluconic acid","HMDB0001316","91493","C00345","O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"alpha-hydroxybutyrate","2-Hydroxybutyric acid","HMDB0000008","440864","C05984","CC[C@H](O)C(O)=O","1"
"2-hydroxyglutarate","2-Hydroxyglutarate","HMDB0059655","43","C02630","OC(CCC(O)=O)C(O)=O","1"
"inositol","myo-Inositol","HMDB0000211",NA,"C00137","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"malondialdehyde","Malondialdehyde","HMDB0006112","10964","C19440","O=CCC=O","1"
"glycine","Glycine","HMDB0000123","750","C00037","NCC(O)=O","1"
"alanine","Alanine",NA,NA,"C01401",NA,"1"
"serine","Serine","HMDB0000187","5951","C00065","N[C@@H](CO)C(O)=O","1"
"threonine","L-Threonine","HMDB0000167","6288","C00188","C[C@@H](O)[C@H](N)C(O)=O","1"
"methionine","Methionine","HMDB0000696","6137","C00073","CSCC[C@H](N)C(O)=O","1"
"aspartate","L-Aspartic acid","HMDB0000191","5960","C00049","N[C@@H](CC(O)=O)C(O)=O","1"
"glutamate","Glutamic acid","HMDB0000148","33032","C00302","N[C@@H](CCC(O)=O)C(O)=O","1"
"asparagine","L-Asparagine","HMDB0000168","6267","C00152","N[C@@H](CC(N)=O)C(O)=O","1"
"glutamine","Glutamine","HMDB0000641","5961","C00064","N[C@@H](CCC(N)=O)C(O)=O","1"
"histidine","Histidine","HMDB0000177","6274","C00135","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"arginine","L-Arginine","HMDB0000517","6322","C00062","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"lysine","Lysine","HMDB0000182","5962","C00047","NCCCC[C@H](N)C(O)=O","1"
"valine","L-Valine","HMDB0000883","6287","C00183","CC(C)[C@H](N)C(O)=O","1"
"leucine","Leucine","HMDB0000687","6106","C00123","CC(C)C[C@H](N)C(O)=O","1"
"isoleucine","Isoleucine","HMDB0000172","6306","C00407","CC[C@H](C)[C@H](N)C(O)=O","1"
"phenylalanine","Phenylalanine","HMDB0000159","6140","C00079","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"tyrosine","L-Tyrosine","HMDB0000158","6057","C00082","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"tryptophan","L-Tryptophan","HMDB0000929","6305","C00078","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"proline","Proline","HMDB0000162","145742","C00148","OC(=O)[C@@H]1CCCN1","1"
"cis/trans-hydroxyproline","4-Hydroxyproline","HMDB0000725","5810","C01157","O[C@H]1CN[C@@H](C1)C(O)=O","1"
"ornithine","Ornithine","HMDB0000214","6262","C00077","NCCC[C@H](N)C(O)=O","1"
"citrulline","Citrulline","HMDB0000904","9750","C00327","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"taurine","Taurine","HMDB0000251","1123","C00245","NCCS(O)(=O)=O","1"
"5-HIAA","5-Hydroxyindoleacetic acid","HMDB0000763","1826","C05635","OC(=O)CC1=CNC2=C1C=C(O)C=C2","1"
"serotonin","Serotonin","HMDB0000259","5202","C00780","NCCC1=CNC2=C1C=C(O)C=C2","1"
"GABA","gamma-Aminobutyric acid","HMDB0000112","119","C00334","NCCCC(O)=O","1"
"acetylglycine","Acetylglycine","HMDB0000532","10972",NA,"CC(=O)NCC(O)=O","1"
"dimethylglycine","Dimethylglycine","HMDB0000092","673","C01026","CN(C)CC(O)=O","1"
"homocysteine","Homocysteine","HMDB0000742","91552","C00155","N[C@@H](CCS)C(O)=O","1"
"SDMA/ADMA","NA","NA","NA","NA","NA","0"
"NMMA","L-Targinine","HMDB0029416","132862","C03884","CNC(=N)NCCC[C@H](N)C(O)=O","1"
"allantoin","Allantoin","HMDB0000462","204","C02350","NC(=O)NC1NC(=O)NC1=O","1"
"anthranilic acid","2-Aminobenzoic acid","HMDB0001123","227","C00108","NC1=CC=CC=C1C(O)=O","1"
"kynurenic acid","Kynurenic acid","HMDB0000715","3845","C01717","OC(=O)C1=CC(=O)C2=CC=CC=C2N1","1"
"5-adenosylhomocysteine","S-Adenosylhomocysteine","HMDB0000939","439155","C00021","N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O","1"
"carnosine","Carnosine","HMDB0000033","439224","C00386","NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O","1"
"N-carbamoyl-beta-alanine","Ureidopropionic acid","HMDB0000026","111","C02642","NC(=O)NCCC(O)=O","1"
"thiamine","Thiamine","HMDB0000235","1130","C00378","CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N","1"
"niacinamide","Niacinamide","HMDB0001406","936","C00153","NC(=O)C1=CC=CN=C1","1"
"betaine","Betaine","HMDB0000043","247","C00719","C[N+](C)(C)CC(O)=O","1"
"choline","Choline","HMDB0000097","305","C00114","C[N+](C)(C)CCO","1"
"alpha-glycerophosphocholine","Glycerophosphocholine","HMDB0000086","657272","C00670","C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO","1"
"acetylcholine","Acetylcholine","HMDB0000895","187","C01996","CC(=O)OCC[N+](C)(C)C","1"
"creatine","Creatine","HMDB0000064","586","C00300","CN(CC(O)=O)C(N)=N","1"
"creatinine","Creatinine","HMDB0000562","588","C00791","CN1CC(=O)NC1=N","1"
"thyroxine","Thyroxine","HMDB0000248","5819","C01829","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O","1"
"trimethylamine-N-oxide","Trimethylamine N-oxide","HMDB0000925","1145","C01104","C[N+](C)(C)[O-]","1"
"hexoses (HILIC pos)","NA","NA","NA","NA","NA","0"
"adenosine","Adenosine","HMDB0000050","60961","C00212","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"thymidine","Thymidine","HMDB0000273","5789","C00214","CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O","1"
"xanthosine","Xanthosine","HMDB0000299","64959","C01762","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O","1"
"2-deoxyadenosine","Deoxyadenosine","HMDB0000101","13730","C00559","NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1","1"
"2-deoxycytidine","Deoxycytidine","HMDB0000014","13711","C00881","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1","1"
"cAMP","Cyclic AMP","HMDB0000058","6076","C00575","[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N","1"
"cotinine","Cotinine","HMDB0001046","408",NA,"CN1C(CCC1=O)C1=CN=CC=C1","1"
"pipecolic acid","Pipecolic acid","HMDB0000070","849","C00408","OC(=O)C1CCCCN1","1"
"pyroglutamic acid","Pyroglutamic acid","HMDB0000267","7405","C01879","OC(=O)[C@@H]1CCC(=O)N1","1"
"1-methylnicotinamide","1-Methylnicotinamide","HMDB0000699","457","C02918","C[N+]1=CC=CC(=C1)C(N)=O","1"
"butyrobetaine","4-Trimethylammoniobutanoic acid","HMDB0001161","725","C01181","C[N+](C)(C)CCCC([O-])=O","1"
"putrescine","Putrescine","HMDB0001414","1045","C00134","NCCCCN","1"
"methionine sulfoxide","Methionine sulfoxide","HMDB0002005","158980","C02989","CS(=O)CC[C@H](N)C(O)=O","1"
"carnitine","L-Carnitine","HMDB0000062","10917","C00487","C[N+](C)(C)C[C@H](O)CC(O)=O","1"
"acetylcarnitine","L-Acetylcarnitine","HMDB0000201","7045767","C02571","CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"propionylcarnitine","Propionylcarnitine","HMDB0000824","188824","C03017","CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"malonylcarnitine","Malonylcarnitine","HMDB0002095","91825606",NA,"C[N+](C)(C)C[C@@H](CC([O-])=O)OC(=O)CC(O)=O","1"
"butyrylcarnitine/isobutyrylcarnitine","NA","NA","NA","NA","NA","0"
"valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine","NA","NA","NA","NA","NA","0"
"hexanoylcarnitine","Hexanoylcarnitine","HMDB0000756","3246938",NA,"CCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"heptanoylcarnitine","Heptanoylcarnitine","HMDB0013238","53481699",NA,"CCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"lauroylcarnitine","Dodecanoylcarnitine","HMDB0002250","168381",NA,"CCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"myristoylcarnitine","NA","NA","NA","NA","NA","0"
"palmitoylcarnitine","Palmitoylcarnitine","HMDB0000222","11953816","C02990","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"stearoylcarnitine","Stearoylcarnitine","HMDB0000848","52922056",NA,"CCCCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"oleylcarnitine","Palmitoylcarnitine","HMDB0000222","11953816","C02990","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"arachidonyl_carnitine","NA","NA","NA","NA","NA","0"
"sarcosine","Sarcosine","HMDB0000271","1088","C00213","CNCC(O)=O","1"
"beta-alanine","beta-Alanine","HMDB0000056","239","C00099","NCCC(O)=O","1"
"anserine","Anserine","HMDB0000194","112072","C01262","CN1C=NC=C1C[C@H](NC(=O)CCN)C(O)=O","1"
"C14:0 LPC","NA","NA","NA","NA","NA","0"
"C16:1 LPC","NA","NA","NA","NA","NA","0"
"C16:0 LPC","NA","NA","NA","NA","NA","0"
"C18:2 LPC","NA","NA","NA","NA","NA","0"
"C18:1 LPC","NA","NA","NA","NA","NA","0"
"C18:0 LPC","NA","NA","NA","NA","NA","0"
"C20:4 LPC","NA","NA","NA","NA","NA","0"
"C20:3 LPC","NA","NA","NA","NA","NA","0"
"C22:6 LPC","NA","NA","NA","NA","NA","0"
"C16:0 LPE","NA","NA","NA","NA","NA","0"
"C18:1 LPE","NA","NA","NA","NA","NA","0"
"C18:0 LPE","NA","NA","NA","NA","NA","0"
"C20:4 LPE","NA","NA","NA","NA","NA","0"
"C22:6 LPE","NA","NA","NA","NA","NA","0"
"C32:2 PC","NA","NA","NA","NA","NA","0"
"C32:1 PC","NA","NA","NA","NA","NA","0"
"C32:0 PC","NA","NA","NA","NA","NA","0"
"C34:4 PC","NA","NA","NA","NA","NA","0"
"C34:3 PC","NA","NA","NA","NA","NA","0"
"C34:2 PC","NA","NA","NA","NA","NA","0"
"C34:1 PC","NA","NA","NA","NA","NA","0"
"C36:4 PC-A","NA","NA","NA","NA","NA","0"
"C36:4 PC-B","NA","NA","NA","NA","NA","0"
"C36:3 PC","NA","NA","NA","NA","NA","0"
"C36:2 PC","NA","NA","NA","NA","NA","0"
"C36:1 PC","NA","NA","NA","NA","NA","0"
"C38:6 PC","NA","NA","NA","NA","NA","0"
"C38:5 PC","NA","NA","NA","NA","NA","0"
"C38:4 PC","NA","NA","NA","NA","NA","0"
"C38:2 PC","NA","NA","NA","NA","NA","0"
"C40:6 PC","NA","NA","NA","NA","NA","0"
"C14:0 SM","NA","NA","NA","NA","NA","0"
"C16:1 SM","NA","NA","NA","NA","NA","0"
"C16:0 SM","NA","NA","NA","NA","NA","0"
"C18:2 SM","NA","NA","NA","NA","NA","0"
"C18:1 SM","NA","NA","NA","NA","NA","0"
"C18:0 SM","NA","NA","NA","NA","NA","0"
"C22:1 SM","NA","NA","NA","NA","NA","0"
"C22:0 SM","NA","NA","NA","NA","NA","0"
"C24:1 SM","NA","NA","NA","NA","NA","0"
"C24:0 SM","NA","NA","NA","NA","NA","0"
"C34:2 DAG","NA","NA","NA","NA","NA","0"
"C34:1 DAG","NA","NA","NA","NA","NA","0"
"C36:2 DAG","NA","NA","NA","NA","NA","0"
"C36:1 DAG","NA","NA","NA","NA","NA","0"
"C14:0 CE","NA","NA","NA","NA","NA","0"
"C16:1 CE","NA","NA","NA","NA","NA","0"
"C16:0 CE","NA","NA","NA","NA","NA","0"
"C18:3 CE","NA","NA","NA","NA","NA","0"
"C18:2 CE","NA","NA","NA","NA","NA","0"
"C18:1 CE","NA","NA","NA","NA","NA","0"
"C18:0 CE","NA","NA","NA","NA","NA","0"
"C20:5 CE","NA","NA","NA","NA","NA","0"
"C20:4 CE","NA","NA","NA","NA","NA","0"
"C20:3 CE","NA","NA","NA","NA","NA","0"
"C22:6 CE","NA","NA","NA","NA","NA","0"
"C46:2 TAG","NA","NA","NA","NA","NA","0"
"C46:1 TAG","NA","NA","NA","NA","NA","0"
"C46:0 TAG","NA","NA","NA","NA","NA","0"
"C48:3 TAG","NA","NA","NA","NA","NA","0"
"C48:2 TAG","NA","NA","NA","NA","NA","0"
"C48:1 TAG","NA","NA","NA","NA","NA","0"
"C48:0 TAG","NA","NA","NA","NA","NA","0"
"C50:3 TAG","NA","NA","NA","NA","NA","0"
"C50:2 TAG","NA","NA","NA","NA","NA","0"
"C50:1 TAG","NA","NA","NA","NA","NA","0"
"C50:0 TAG","NA","NA","NA","NA","NA","0"
"C52:5 TAG","NA","NA","NA","NA","NA","0"
"C52:4 TAG","NA","NA","NA","NA","NA","0"
"C52:3 TAG","NA","NA","NA","NA","NA","0"
"C52:2 TAG","NA","NA","NA","NA","NA","0"
"C52:1 TAG","NA","NA","NA","NA","NA","0"
"C54:7 TAG","NA","NA","NA","NA","NA","0"
"C54:6 TAG","NA","NA","NA","NA","NA","0"
"C54:5 TAG","NA","NA","NA","NA","NA","0"
"C54:4 TAG","NA","NA","NA","NA","NA","0"
"C54:3 TAG","NA","NA","NA","NA","NA","0"
"C54:2 TAG","NA","NA","NA","NA","NA","0"
"C54:1 TAG","NA","NA","NA","NA","NA","0"
"C56:8 TAG","NA","NA","NA","NA","NA","0"
"C56:7 TAG","NA","NA","NA","NA","NA","0"
"C56:6 TAG","NA","NA","NA","NA","NA","0"
"C56:5 TAG","NA","NA","NA","NA","NA","0"
"C56:4 TAG","NA","NA","NA","NA","NA","0"
"C56:3 TAG","NA","NA","NA","NA","NA","0"
"C56:2 TAG","NA","NA","NA","NA","NA","0"
"C58:8 TAG","NA","NA","NA","NA","NA","0"
"C58:7 TAG","NA","NA","NA","NA","NA","0"
"C58:6 TAG","NA","NA","NA","NA","NA","0"
